,film,year_film,Total oscars nominations,Total oscars won,Oscars best picture,G.G. nominations,G.G. won,G.G. best motion picture
428,Last Tango in Paris,1973,2.0,0.0,0.0,2.0,0.0,0.0
429,Live and Let Die,1973,1.0,0.0,0.0,,,
430,Battle of Berlin,1973,1.0,0.0,0.0,,,
431,Life Times Nine,1973,1.0,0.0,0.0,,,
432,Cries and Whispers,1973,5.0,1.0,0.0,,,
433,Oklahoma Crude,1973,,,,1.0,0.0,0.0
434,Turkish Delight,1973,1.0,0.0,0.0,,,
435,Papillon,1973,1.0,0.0,0.0,1.0,0.0,0.0
436,Charley and The Angel,1973,,,,1.0,0.0,0.0
437,Pulcinella,1973,1.0,0.0,0.0,,,
438,Serpico,1973,2.0,0.0,0.0,2.0,1.0,0.0
439,Bang the Drum Slowly,1973,1.0,0.0,0.0,,,
440,The Pedestrian,1973,1.0,0.0,0.0,,,
441,Cinderella Liberty,1973,3.0,0.0,0.0,4.0,1.0,0.0
442,The Paper Chase,1973,3.0,1.0,0.0,1.0,1.0,0.0
443,Robin Hood,1973,1.0,0.0,0.0,,,
444,Save the Tiger,1973,3.0,1.0,0.0,3.0,0.0,0.0
445,Princeton: A Search for Answers,1973,1.0,1.0,0.0,,,
446,The Movies That Made Us,1973,,,,1.0,0.0,0.0
447,"Italy, Pietro Germi",1973,,,,1.0,0.0,0.0
448,Christo's Valley Curtain,1973,1.0,0.0,0.0,,,
449,Walls of Fire,1973,1.0,0.0,0.0,,,
450,The Second Gun,1973,,,,1.0,0.0,0.0
451,Electra Glide In Blue,1973,,,,1.0,0.0,0.0
452,Earthquake,1974,5.0,2.0,0.0,2.0,0.0,0.0
453,Thunderbolt and Lightfoot,1974,1.0,0.0,0.0,,,
454,Scenes From a Marriage,1974,,,,1.0,0.0,0.0
455,Cats' Play,1974,1.0,0.0,0.0,,,
456,Antonia: A Portrait of the Woman,1974,1.0,0.0,0.0,,,
457,The Godfather Part II,1974,9.0,5.0,1.0,5.0,0.0,0.0
458,The Wild and the Brave,1974,1.0,0.0,0.0,,,
459,The Great Gatsby,1974,2.0,2.0,0.0,2.0,1.0,0.0
460,Climb,1974,1.0,0.0,0.0,,,
461,The Violin,1974,1.0,0.0,0.0,,,
462,Daisy Miller,1974,1.0,0.0,0.0,,,
463,Amarcord,1974,1.0,1.0,0.0,,,
464,The Island at the Top of the World,1974,1.0,0.0,0.0,,,
465,Closed Mondays,1974,1.0,1.0,0.0,,,
466,Mame,1974,,,,2.0,0.0,0.0
467,Chinatown,1974,11.0,1.0,0.0,7.0,4.0,1.0
468,Day for Night,1974,3.0,0.0,0.0,,,
469,Voyage to Next,1974,1.0,0.0,0.0,,,
470,Claudine,1974,1.0,0.0,0.0,3.0,0.0,0.0
471,Don't,1974,1.0,1.0,0.0,,,
472,The Little Prince,1974,2.0,0.0,0.0,3.0,1.0,0.0
473,The Towering Inferno,1974,8.0,3.0,0.0,4.0,1.0,0.0
474,The Truce,1974,1.0,0.0,0.0,,,
475,Exploratorium,1974,1.0,0.0,0.0,,,
476,The Longest Yard,1974,1.0,0.0,0.0,3.0,1.0,1.0
477,City Out of Wilderness,1974,1.0,0.0,0.0,,,
478,Winnie the Pooh and Tigger Too,1974,1.0,0.0,0.0,,,
479,I am a Dancer,1974,,,,1.0,0.0,0.0
480,Alice Doesn't Live Here Anymore,1974,3.0,1.0,0.0,2.0,0.0,0.0
481,"Birds Do It, Bees Do It",1974,,,,1.0,0.0,0.0
482,Janis,1974,,,,1.0,0.0,0.0
483,Harry and Tonto,1974,2.0,1.0,0.0,,,
484,Hearts and Minds,1974,1.0,1.0,0.0,1.0,0.0,0.0
485,Shanks,1974,1.0,0.0,0.0,,,
486,"Canada, Ted Kotcheff",1974,,,,1.0,0.0,0.0
487,"Sweden, Ingmar Bergman",1974,,,,1.0,1.0,0.0
488,Hunger,1974,1.0,0.0,0.0,,,
489,The Three Musketeers,1974,,,,2.0,1.0,0.0
490,Planet Ocean,1974,1.0,0.0,0.0,,,
491,Phantom of the Paradise,1974,1.0,0.0,0.0,1.0,0.0,0.0
492,The Gambler,1974,,,,1.0,0.0,0.0
493,Blazing Saddles,1974,3.0,0.0,0.0,,,
494,One-Eyed Men Are Kings,1974,1.0,1.0,0.0,,,
495,John Muir's High Sierra,1974,1.0,0.0,0.0,,,
496,"France, Gérard Oury",1974,,,,1.0,0.0,0.0
497,Naked Yoga,1974,1.0,0.0,0.0,,,
498,"France, Louis Malle",1974,,,,1.0,0.0,0.0
499,Murder on the Orient Express,1974,6.0,1.0,0.0,,,
500,"Lacombe, Lucien",1974,1.0,0.0,0.0,,,
501,Benji,1974,1.0,0.0,0.0,1.0,1.0,0.0
502,Harry & Tonto,1974,,,,2.0,1.0,0.0
503,Herbie Rides Again,1974,,,,1.0,0.0,0.0
504,Lenny,1974,6.0,0.0,0.0,3.0,0.0,0.0
505,"Italy, Federico Fellini",1974,,,,1.0,0.0,0.0
506,The Front Page,1974,,,,2.0,0.0,0.0
507,The Challenge...A Tribute to Modern Art,1974,1.0,0.0,0.0,,,
508,The Apprenticeship of Duddy Kravitz,1974,1.0,0.0,0.0,,,
509,The Conversation,1974,3.0,0.0,0.0,4.0,0.0,0.0
510,The Concert,1974,1.0,0.0,0.0,,,
511,The Challenge,1974,,,,1.0,0.0,0.0
512,The Dove,1974,,,,1.0,0.0,0.0
513,A Woman under the Influence,1974,2.0,0.0,0.0,,,
514,A Woman Under The Influence,1974,,,,4.0,1.0,0.0
515,The 81st Blow,1974,1.0,0.0,0.0,,,
516,Gold,1974,1.0,0.0,0.0,,,
517,The Family That Dwelt Apart,1974,1.0,0.0,0.0,,,
518,Young Frankenstein,1974,2.0,0.0,0.0,2.0,0.0,0.0
519,Animals Are Beautiful People,1974,,,,1.0,1.0,0.0
520,The Deluge,1974,1.0,0.0,0.0,,,
521,The End of the Game,1975,1.0,1.0,0.0,,,
522,Dawn Flight,1975,1.0,0.0,0.0,,,
523,The Hindenburg,1975,4.0,1.0,0.0,,,
524,Nashville,1975,4.0,1.0,0.0,6.0,1.0,0.0
525,Kick Me,1975,1.0,0.0,0.0,,,
526,The Sunshine Boys,1975,4.0,1.0,0.0,4.0,3.0,1.0
527,"United Kingdom, Trevor Nunn",1975,,,,1.0,0.0,0.0
528,The Day of the Locust,1975,2.0,0.0,0.0,2.0,0.0,0.0
529,Monsieur Pointu,1975,1.0,0.0,0.0,,,
530,The Magic Flute,1975,1.0,0.0,0.0,,,
531,Paper Tiger,1975,,,,1.0,0.0,0.0
532,Jaws,1975,4.0,3.0,0.0,4.0,1.0,0.0
533,Mahogany,1975,1.0,0.0,0.0,,,
534,The Wind and the Lion,1975,2.0,0.0,0.0,,,
535,One Flew Over The Cuckoo's Nest,1975,,,,5.0,5.0,1.0
536,Land of Promise,1975,1.0,0.0,0.0,,,
537,Youthquake,1975,,,,1.0,1.0,0.0
538,Fighting for Our Lives,1975,1.0,0.0,0.0,,,
539,The Four Musketeers,1975,1.0,0.0,0.0,,,
540,Three Days of the Condor,1975,1.0,0.0,0.0,1.0,0.0,0.0
541,Lies My Father Told Me,1975,1.0,0.0,0.0,,,
542,"Sweden, Ingmar Bergman",1975,,,,1.0,0.0,0.0
543,Letters from Marusia,1975,1.0,0.0,0.0,,,
544,Millions of Years Ahead of Man,1975,1.0,0.0,0.0,,,
545,The Story of Adele H.,1975,1.0,0.0,0.0,,,
546,The Incredible Machine,1975,1.0,0.0,0.0,,,
547,One Flew over the Cuckoo's Nest,1975,9.0,5.0,1.0,,,
548,The Man Who Would Be King,1975,4.0,0.0,0.0,1.0,0.0,0.0
549,The Man in the Glass Booth,1975,1.0,0.0,0.0,1.0,0.0,0.0
550,Great,1975,1.0,1.0,0.0,,,
551,The Gentleman Tramp,1975,,,,1.0,0.0,0.0
552,The Other Half of the Sky: A China Memoir,1975,1.0,0.0,0.0,,,
553,Hedda,1975,1.0,0.0,0.0,1.0,0.0,0.0
554,The Other Side of the Mountain,1975,1.0,0.0,0.0,3.0,0.0,0.0
555,Sisyphus,1975,1.0,0.0,0.0,,,
556,Amarcord,1975,2.0,0.0,0.0,,,
557,Shampoo,1975,4.0,1.0,0.0,4.0,0.0,0.0
558,Doubletalk,1975,1.0,0.0,0.0,,,
559,Hester Street,1975,1.0,0.0,0.0,,,
560,Jacqueline Susann's Once Is Not Enough,1975,1.0,0.0,0.0,1.0,1.0,0.0
561,Scent of a Woman,1975,2.0,0.0,0.0,,,
562,"Give 'em Hell, Harry!",1975,1.0,0.0,0.0,,,
563,Dog Day Afternoon,1975,6.0,1.0,0.0,5.0,0.0,0.0
564,The Return of the Pink Panther,1975,,,,3.0,0.0,0.0
565,Probes in Space,1975,1.0,0.0,0.0,,,
566,Dersu Uzala,1975,1.0,1.0,0.0,,,
567,The California Reich,1975,1.0,0.0,0.0,,,
568,Funny Lady,1975,5.0,0.0,0.0,5.0,0.0,0.0
569,A Day in the Life of Bonnie Consolo,1975,1.0,0.0,0.0,,,
570,And Now My Love,1975,1.0,0.0,0.0,,,
571,Angel and Big Joe,1975,1.0,1.0,0.0,,,
572,"U.F.O.s: Past, Present and Future",1975,,,,1.0,0.0,0.0
573,The Man Who Skied down Everest,1975,1.0,1.0,0.0,,,
574,The Other Half Of The Sky: a China Memoir,1975,,,,1.0,0.0,0.0
575,Sandakan No. 8,1975,1.0,0.0,0.0,,,
576,"Farewell, My Lovely",1975,1.0,0.0,0.0,,,
577,Bite the Bullet,1975,2.0,0.0,0.0,,,
578,Lucky Lady,1975,,,,1.0,0.0,0.0
579,Conquest of Light,1975,1.0,0.0,0.0,,,
580,Whiffs,1975,1.0,0.0,0.0,1.0,0.0,0.0
581,"Give 'Em Hell, Harry!",1975,,,,1.0,0.0,0.0
582,French Connection II,1975,,,,1.0,0.0,0.0
583,"Canada, Ján Kadár",1975,,,,1.0,1.0,0.0
584,Mustang: The House That Joe Built,1975,,,,1.0,0.0,0.0
585,Barry Lyndon,1975,7.0,4.0,0.0,2.0,0.0,0.0
586,Arthur and Lillie,1975,1.0,0.0,0.0,,,
587,"France, Claude Lelouch",1975,,,,1.0,0.0,0.0
588,Whistling Smith,1975,1.0,0.0,0.0,,,
589,"Birds Do It, Bees Do It",1975,1.0,0.0,0.0,,,
590,"Italy, Constantin Costa-Gavras",1975,,,,1.0,0.0,0.0
591,"Brother, Can You Spare a Dime?",1975,,,,1.0,0.0,0.0
592,Tommy,1975,2.0,0.0,0.0,2.0,1.0,0.0
593,The Shootist,1976,1.0,0.0,0.0,1.0,0.0,0.0
594,Obsession,1976,1.0,0.0,0.0,,,
595,American Shoeshine,1976,1.0,0.0,0.0,,,
596,Black and White in Color,1976,1.0,1.0,0.0,,,
597,The Street,1976,1.0,0.0,0.0,,,
598,Off the Edge,1976,1.0,0.0,0.0,,,
599,Silver Streak,1976,1.0,0.0,0.0,1.0,0.0,0.0
600,"Jacob, the Liar",1976,1.0,0.0,0.0,,,
601,Seven Beauties,1976,4.0,0.0,0.0,,,
602,Hollywood on Trial,1976,1.0,0.0,0.0,,,
603,Universe,1976,1.0,0.0,0.0,,,
604,The Memory of Justice,1976,,,,1.0,0.0,0.0
605,The Morning Spider,1976,1.0,0.0,0.0,,,
606,Blackwood,1976,1.0,0.0,0.0,,,
607,"Sweden, Ingmar Bergman",1976,,,,1.0,1.0,0.0
608,The Incredible Sarah,1976,2.0,0.0,0.0,1.0,0.0,0.0
609,The Ritz,1976,,,,3.0,0.0,0.0
610,"France, Jean-Charles Tacchella",1976,,,,1.0,0.0,0.0
611,"France, François Truffaut",1976,,,,1.0,0.0,0.0
612,Car Wash,1976,,,,1.0,0.0,0.0
613,Volcano:  An Inquiry into the Life and Death of Malcolm Lowry,1976,1.0,0.0,0.0,,,
614,Network,1976,9.0,3.0,0.0,5.0,4.0,0.0
615,"Italy, Lina Wertmüller",1976,,,,1.0,0.0,0.0
616,Nightlife,1976,1.0,0.0,0.0,,,
617,The Pink Panther Strikes Again,1976,1.0,0.0,0.0,2.0,0.0,0.0
618,The End of the Road,1976,1.0,0.0,0.0,,,
619,King Kong,1976,3.0,1.0,0.0,,,
620,Voyage of the Damned,1976,3.0,0.0,0.0,5.0,0.0,0.0
621,Nights and Days,1976,1.0,0.0,0.0,,,
622,The Outlaw Josey Wales,1976,1.0,0.0,0.0,,,
623,Freaky Friday (1976),1976,,,,2.0,0.0,0.0
624,The Omen,1976,2.0,1.0,0.0,,,
625,Bound for Glory,1976,6.0,2.0,0.0,3.0,0.0,0.0
626,Number One,1976,1.0,0.0,0.0,,,
627,The Seven-per-cent Solution,1976,2.0,0.0,0.0,,,
628,Number Our Days,1976,1.0,1.0,0.0,,,
629,All The President's Men,1976,,,,4.0,0.0,0.0
630,The Passover Plot,1976,1.0,0.0,0.0,,,
631,Dedalo,1976,1.0,0.0,0.0,,,
632,"That's Entertainment, Part 2",1976,,,,1.0,0.0,0.0
633,The Front,1976,1.0,0.0,0.0,,,
634,"Harlan County, U.S.A.",1976,1.0,1.0,0.0,,,
635,The Last Tycoon,1976,1.0,0.0,0.0,,,
636,The Slipper and the Rose - The Story of Cinderella,1976,,,,1.0,0.0,0.0
637,In the Region of Ice,1976,1.0,1.0,0.0,,,
638,The Duchess and The Dirtwater Fox,1976,,,,1.0,0.0,0.0
639,Half a House,1976,1.0,0.0,0.0,,,
640,"United Kingdom, Bryan Forbes",1976,,,,1.0,0.0,0.0
641,All the President's Men,1976,8.0,4.0,0.0,,,
642,Family Plot,1976,,,,1.0,0.0,0.0
643,Logan's Run,1976,3.0,1.0,0.0,,,
644,A Star Is Born,1976,4.0,1.0,0.0,5.0,5.0,1.0
645,Taxi Driver,1976,4.0,0.0,0.0,2.0,0.0,0.0
646,Leisure,1976,1.0,1.0,0.0,,,
647,People of the Wind,1976,1.0,0.0,0.0,1.0,0.0,0.0
648,"Cousin, Cousine",1976,3.0,0.0,0.0,,,
649,Face to Face,1976,2.0,0.0,0.0,1.0,0.0,0.0
650,Silent Movie,1976,,,,4.0,0.0,0.0
651,Rocky,1976,9.0,3.0,1.0,6.0,1.0,1.0
652,Carrie,1976,2.0,0.0,0.0,1.0,0.0,0.0
653,Marathon Man,1976,1.0,0.0,0.0,5.0,1.0,0.0
654,Wings of an Eagle,1976,,,,1.0,0.0,0.0
655,Pipe Dreams,1976,,,,1.0,0.0,0.0
656,Two-Minute Warning,1976,1.0,0.0,0.0,,,
657,Bugsy Malone,1976,1.0,0.0,0.0,3.0,0.0,0.0
658,Fellini's Casanova,1976,2.0,1.0,0.0,,,
659,From Noon Till Three,1976,,,,1.0,0.0,0.0
660,Kudzu,1976,1.0,0.0,0.0,,,
661,Altars of the World,1976,,,,1.0,1.0,0.0
662,"Next Stop, Greenwich Village",1976,,,,1.0,0.0,0.0
663,The Sailor Who Fell From Grace With The Sea,1976,,,,1.0,0.0,0.0
664,"Spain, Carlos Saura",1977,,,,1.0,0.0,0.0
665,MacArthur,1977,,,,1.0,0.0,0.0
666,Pete's Dragon,1977,2.0,0.0,0.0,1.0,0.0,0.0
667,Equus,1977,3.0,0.0,0.0,2.0,2.0,0.0
668,You Light Up My Life,1977,1.0,1.0,0.0,1.0,1.0,0.0
669,I'll Find a Way,1977,1.0,1.0,0.0,,,
670,Islands in the Stream,1977,1.0,0.0,0.0,,,
671,The Other Side of Midnight,1977,1.0,0.0,0.0,,,
672,Iphigenia,1977,1.0,0.0,0.0,,,
673,Jimmy the C,1977,1.0,0.0,0.0,,,
674,Looking For Mr. Goodbar,1977,,,,1.0,0.0,0.0
675,"Of Time, Tombs and Treasure",1977,1.0,0.0,0.0,,,
676,I Never Promised You a Rose Garden,1977,1.0,0.0,0.0,2.0,0.0,0.0
677,Notes on the Popular Arts,1977,1.0,0.0,0.0,,,
678,"Oh, God!",1977,1.0,0.0,0.0,,,
679,Operation Thunderbolt,1977,1.0,0.0,0.0,,,
680,A Little Night Music,1977,2.0,1.0,0.0,,,
681,Who Are the DeBolts? And Where Did They Get Nineteen Kids?,1977,1.0,1.0,0.0,,,
682,Smokey and The Bandit,1977,,,,1.0,0.0,0.0
683,The Goodbye Girl,1977,5.0,1.0,0.0,5.0,4.0,1.0
684,First Edition,1977,1.0,0.0,0.0,,,
685,The Late Show,1977,1.0,0.0,0.0,1.0,0.0,0.0
686,"France, Yves Robert",1977,,,,1.0,0.0,0.0
687,Bobby Deerfield,1977,,,,1.0,0.0,0.0
688,Mohammad - Messenger of God,1977,1.0,0.0,0.0,,,
689,"Italy, Ettore Scola",1977,,,,1.0,1.0,0.0
690,The Slipper and the Rose--The Story of Cinderella,1977,2.0,0.0,0.0,,,
691,Joseph Andrews,1977,,,,1.0,0.0,0.0
692,The Spy Who Loved Me,1977,3.0,0.0,0.0,2.0,0.0,0.0
693,"New York, New York",1977,,,,4.0,0.0,0.0
694,Union Maids,1977,1.0,0.0,0.0,,,
695,High Grass Circus,1977,1.0,0.0,0.0,,,
696,Star Wars: Episode IV - A New Hope,1977,10.0,6.0,0.0,4.0,1.0,0.0
697,The Children of Theatre Street,1977,1.0,0.0,0.0,,,
698,Airport '77,1977,2.0,0.0,0.0,,,
699,Smokey and the Bandit,1977,1.0,0.0,0.0,,,
700,Madame Rosa,1977,1.0,1.0,0.0,,,
701,Annie Hall,1977,5.0,4.0,1.0,5.0,1.0,0.0
702,That Obscure Object of Desire,1977,2.0,0.0,0.0,,,
703,The Absent-Minded Waiter,1977,1.0,0.0,0.0,,,
704,The Turning Point,1977,10.0,0.0,0.0,6.0,2.0,1.0
705,Sorcerer,1977,1.0,0.0,0.0,,,
706,The Bead Game,1977,1.0,0.0,0.0,,,
707,Opening Night,1977,,,,2.0,0.0,0.0
708,The Shetland Experience,1977,1.0,0.0,0.0,,,
709,Spaceborne,1977,1.0,0.0,0.0,,,
710,Close Encounters of the Third Kind,1977,8.0,1.0,0.0,4.0,0.0,0.0
711,Floating Free,1977,1.0,0.0,0.0,,,
712,Roseland,1977,,,,1.0,0.0,0.0
713,Julia,1977,10.0,2.0,0.0,6.0,2.0,0.0
714,"France, Luis Buñuel",1977,,,,1.0,0.0,0.0
715,Saturday Night Fever,1977,1.0,0.0,0.0,4.0,0.0,0.0
716,"France, Moshé Mizrahi",1977,,,,1.0,0.0,0.0
717,The Rescuers,1977,1.0,0.0,0.0,,,
718,"Agueda Martinez: Our People, Our Country",1977,1.0,0.0,0.0,,,
719,Homage to Chagall--The Colours of Love,1977,1.0,0.0,0.0,,,
720,Gravity Is My Enemy,1977,1.0,1.0,0.0,,,
721,High Anxiety,1977,,,,2.0,0.0,0.0
722,The Doonesbury Special,1977,1.0,0.0,0.0,,,
723,A Special Day,1977,2.0,0.0,0.0,1.0,0.0,0.0
724,Looking for Mr. Goodbar,1977,2.0,0.0,0.0,,,
725,The Deep,1977,1.0,0.0,0.0,1.0,0.0,0.0
726,The Sand Castle,1977,1.0,1.0,0.0,,,
727,Heroes,1977,,,,1.0,0.0,0.0
728,Goodnight Miss Ann,1978,1.0,0.0,0.0,,,
729,Bloodbrothers,1978,1.0,0.0,0.0,,,
730,Pretty Baby,1978,1.0,0.0,0.0,,,
731,The Boys From Brazil,1978,,,,1.0,0.0,0.0
732,Special Delivery,1978,1.0,1.0,0.0,,,
733,Squires of San Quentin,1978,1.0,0.0,0.0,,,
734,The Children of Sanchez,1978,,,,1.0,0.0,0.0
735,With Babies and Banners: Story of the Women's Emergency Brigade,1978,1.0,0.0,0.0,,,
736,Teenage Father,1978,1.0,1.0,0.0,,,
737,Thank God It's Friday,1978,1.0,1.0,0.0,1.0,1.0,0.0
738,Superman,1978,4.0,1.0,0.0,1.0,0.0,0.0
739,Strange Fruit,1978,1.0,0.0,0.0,,,
740,"Same Time, Next Year",1978,4.0,0.0,0.0,3.0,1.0,0.0
741,Raoni,1978,1.0,0.0,0.0,,,
742,Get Out Your Handkerchiefs,1978,1.0,1.0,0.0,,,
743,Rip Van Winkle,1978,1.0,0.0,0.0,,,
744,Hooper,1978,1.0,0.0,0.0,,,
745,The Divided Trail: A Native American Odyssey,1978,1.0,0.0,0.0,,,
746,Scared Straight!,1978,1.0,1.0,0.0,,,
747,California Suite,1978,3.0,1.0,0.0,2.0,1.0,0.0
748,Hungarians,1978,1.0,0.0,0.0,,,
749,The Deer Hunter,1978,9.0,5.0,1.0,6.0,1.0,0.0
750,Foul Play,1978,1.0,0.0,0.0,6.0,0.0,0.0
751,A Wedding,1978,,,,1.0,0.0,0.0
752,Autumn Sonata,1978,2.0,0.0,0.0,1.0,0.0,0.0
753,The Flight of the Gossamer Condor,1978,1.0,1.0,0.0,,,
754,"Sweden, Ingmar Bergman",1978,,,,1.0,1.0,0.0
755,The Lord of the Rings,1978,,,,1.0,0.0,0.0
756,"Brazil, Bruno Barreto",1978,,,,1.0,0.0,0.0
757,The Buddy Holly Story,1978,3.0,1.0,0.0,1.0,0.0,0.0
758,The Brink's Job,1978,1.0,0.0,0.0,,,
759,Stevie,1978,,,,2.0,0.0,0.0
760,The Glass Cell,1978,1.0,0.0,0.0,,,
761,The Boys from Brazil,1978,3.0,0.0,0.0,,,
762,Heaven Can Wait,1978,9.0,1.0,0.0,3.0,3.0,1.0
763,Caravans,1978,1.0,0.0,0.0,,,
764,Magic,1978,,,,1.0,0.0,0.0
765,Grease,1978,1.0,0.0,0.0,4.0,0.0,0.0
766,An Encounter with Faces,1978,1.0,0.0,0.0,,,
767,The Magic of Lassie,1978,1.0,0.0,0.0,,,
768,"United Kingdom, John Guillermin",1978,,,,1.0,0.0,0.0
769,Oh My Darling,1978,1.0,0.0,0.0,,,
770,Movie Movie,1978,,,,2.0,0.0,0.0
771,"France, Bertrand Blier",1978,,,,1.0,0.0,0.0
772,"Greece, Jules Dassin",1978,,,,1.0,0.0,0.0
773,Viva Italia!,1978,1.0,0.0,0.0,,,
774,Mysterious Castles of Clay,1978,1.0,0.0,0.0,,,
775,The Lovers' Wind,1978,1.0,0.0,0.0,,,
776,An Unmarried Woman,1978,3.0,0.0,0.0,5.0,0.0,0.0
777,Midnight Express,1978,6.0,2.0,0.0,6.0,4.0,1.0
778,Days of Heaven,1978,4.0,1.0,0.0,2.0,0.0,0.0
779,Who Is Killing The Great Chefs of Europe?,1978,,,,2.0,0.0,0.0
780,The Swarm,1978,1.0,0.0,0.0,,,
781,Mandy's Grandmother,1978,1.0,0.0,0.0,,,
782,Comes a Horseman,1978,1.0,0.0,0.0,,,
783,"Israel, Boaz Davidson",1978,,,,1.0,0.0,0.0
784,Coming Home,1978,8.0,3.0,0.0,6.0,2.0,0.0
785,Death on the Nile,1978,1.0,1.0,0.0,,,
786,White Bim Black Ear,1978,1.0,0.0,0.0,,,
787,The Wiz,1978,4.0,0.0,0.0,,,
788,Interiors,1978,5.0,0.0,0.0,4.0,0.0,0.0
789,A Different Approach,1978,1.0,0.0,0.0,,,
790,The Rose,1979,4.0,0.0,0.0,4.0,2.0,0.0
791,Yanks,1979,,,,1.0,0.0,0.0
792,"Italy, Luigi Comencini",1979,,,,1.0,0.0,0.0
793,The Main Event,1979,,,,1.0,0.0,0.0
794,Meteor,1979,1.0,0.0,0.0,,,
795,The Killing Ground,1979,1.0,0.0,0.0,,,
796,The Solar Film,1979,1.0,0.0,0.0,,,
797,Agatha,1979,1.0,0.0,0.0,,,
798,Starting Over,1979,2.0,0.0,0.0,4.0,0.0,0.0
799,Butch and Sundance: The Early Days,1979,1.0,0.0,0.0,,,
800,"West Germany, Rainer Werner Fassbinder",1979,,,,1.0,0.0,0.0
801,Moonraker,1979,1.0,0.0,0.0,,,
802,Every Child,1979,1.0,1.0,0.0,,,
803,Promises In The Dark,1979,,,,2.0,0.0,0.0
804,"France, Édouard Molinaro",1979,,,,1.0,1.0,0.0
805,The Amityville Horror,1979,1.0,0.0,0.0,1.0,0.0,0.0
806,The Electric Horseman,1979,1.0,0.0,0.0,,,
807,The Promise,1979,1.0,0.0,0.0,,,
808,The China Syndrome,1979,4.0,0.0,0.0,5.0,0.0,0.0
809,Koryo Celadon,1979,1.0,0.0,0.0,,,
810,1941,1979,3.0,0.0,0.0,,,
811,The Champ,1979,1.0,0.0,0.0,1.0,0.0,0.0
812,Going the Distance,1979,1.0,0.0,0.0,,,
813,Mama Turns a Hundred,1979,1.0,0.0,0.0,,,
814,Best Boy,1979,1.0,1.0,0.0,,,
815,Dae,1979,1.0,0.0,0.0,,,
816,Breaking Away,1979,5.0,1.0,0.0,3.0,1.0,1.0
817,A Simple Story,1979,1.0,0.0,0.0,,,
818,The Black Hole,1979,2.0,0.0,0.0,,,
819,The Black Stallion,1979,3.0,1.0,0.0,1.0,0.0,0.0
820,Paul Robeson: Tribute to an Artist,1979,1.0,1.0,0.0,,,
821,The War at Home,1979,1.0,0.0,0.0,,,
822,And Justice For All,1979,,,,1.0,0.0,0.0
823,Manhattan,1979,2.0,0.0,0.0,1.0,0.0,0.0
824,Bravery in the Field,1979,1.0,0.0,0.0,,,
825,La Cage aux Folles,1979,3.0,0.0,0.0,,,
826,Generation on the Wind,1979,1.0,0.0,0.0,,,
827,Solly's Diner,1979,1.0,0.0,0.0,,,
828,The Tin Drum,1979,1.0,1.0,0.0,,,
829,Kramer vs. Kramer,1979,8.0,4.0,1.0,6.0,3.0,1.0
830,Star Trek - The Motion Picture,1979,3.0,0.0,0.0,,,
831,Nails,1979,1.0,0.0,0.0,,,
832,The Onion Field,1979,,,,1.0,0.0,0.0
833,Chapter Two,1979,1.0,0.0,0.0,2.0,0.0,0.0
834,Remember Me,1979,1.0,0.0,0.0,,,
835,Star Trek: The Motion Picture,1979,,,,1.0,0.0,0.0
836,Board and Care,1979,1.0,1.0,0.0,,,
837,...And Justice for All,1979,2.0,0.0,0.0,,,
838,"United Kingdom, James Ivory",1979,,,,1.0,0.0,0.0
839,It's So Nice to Have a Wolf around the House,1979,1.0,0.0,0.0,,,
840,Apocalypse Now,1979,8.0,2.0,0.0,4.0,3.0,0.0
841,Ice Castles,1979,1.0,0.0,0.0,1.0,0.0,0.0
842,Alien,1979,2.0,1.0,0.0,1.0,0.0,0.0
843,Dream Doll,1979,1.0,0.0,0.0,,,
844,Hair,1979,,,,1.0,0.0,0.0
845,Norma Rae,1979,4.0,2.0,0.0,3.0,1.0,0.0
846,A Little Romance,1979,2.0,1.0,0.0,2.0,0.0,0.0
847,The Maids of Wilko,1979,1.0,0.0,0.0,,,
848,Being There,1979,2.0,1.0,0.0,6.0,2.0,0.0
849,The Muppet Movie,1979,2.0,0.0,0.0,1.0,0.0,0.0
850,All That Jazz,1979,9.0,4.0,0.0,1.0,0.0,0.0
851,The Europeans,1979,1.0,0.0,0.0,,,
852,10,1979,2.0,0.0,0.0,4.0,0.0,0.0
853,"Oh Brother, My Brother",1979,1.0,0.0,0.0,,,
854,"Netherlands, Paul Verhoeven",1979,,,,1.0,0.0,0.0
855,Love at First Bite,1979,,,,1.0,0.0,0.0
856,Luna,1979,,,,1.0,0.0,0.0
857,To Forget Venice,1979,1.0,0.0,0.0,,,
858,Endless Love,1980,,,,1.0,0.0,0.0
859,Melvin and Howard,1980,3.0,2.0,0.0,4.0,1.0,0.0
860,It's the Same World,1980,1.0,0.0,0.0,,,
861,"United Kingdom, Roman Polanski",1980,,,,1.0,1.0,0.0
862,"Australia, Gillian Armstrong",1980,,,,1.0,0.0,0.0
863,The Stunt Man,1980,3.0,0.0,0.0,5.0,1.0,0.0
864,American Gigolo,1980,,,,2.0,0.0,0.0
865,Ordinary People,1980,5.0,3.0,1.0,6.0,3.0,1.0
866,When Time Ran Out,1980,1.0,0.0,0.0,,,
867,Confidence,1980,1.0,0.0,0.0,,,
868,"Australia, Bruce Beresford",1980,,,,1.0,0.0,0.0
869,Tribute,1980,1.0,0.0,0.0,1.0,0.0,0.0
