,film,year_film,Total oscars nominations,Total oscars won,Oscars best picture,G.G. nominations,G.G. won,G.G. best motion picture
101,Joanna,1968,,,,1.0,0.0,0.0
102,Bullitt,1968,2.0,1.0,0.0,,,
103,The Odd Couple,1968,2.0,0.0,0.0,,,
104,A Way Out of the Wilderness,1968,1.0,0.0,0.0,,,
105,I Even Met Happy Gypsies,1968,,,,1.0,0.0,0.0
106,The Killing of Sister George,1968,,,,1.0,0.0,0.0
107,War and Peace (1966),1968,,,,1.0,1.0,0.0
108,Journey into Self,1968,1.0,1.0,0.0,,,
109,"Rachel, Rachel",1968,4.0,0.0,0.0,2.0,2.0,0.0
110,Oliver!,1968,11.0,5.0,1.0,5.0,2.0,1.0
111,Isadora,1968,1.0,0.0,0.0,1.0,0.0,0.0
112,Other Voices,1968,1.0,0.0,0.0,,,
113,2001: A Space Odyssey,1968,4.0,1.0,0.0,,,
114,Hot Millions,1968,1.0,0.0,0.0,,,
115,Rosemary's Baby,1968,2.0,1.0,0.0,4.0,1.0,0.0
116,Planet of the Apes,1968,2.0,0.0,0.0,,,
117,Prelude,1968,1.0,0.0,0.0,,,
118,Romeo and Juliet,1968,4.0,2.0,0.0,3.0,1.0,0.0
119,Robert Kennedy Remembered,1968,1.0,1.0,0.0,,,
120,The Scalphunters,1968,,,,1.0,0.0,0.0
121,A Few Notes on Our Food Problem,1968,1.0,0.0,0.0,,,
122,Star!,1968,7.0,0.0,0.0,3.0,1.0,0.0
123,Ice Station Zebra,1968,2.0,0.0,0.0,,,
124,"Yours, Mine and Ours",1968,,,,2.0,0.0,0.0
125,Stolen Kisses,1968,1.0,0.0,0.0,1.0,0.0,0.0
126,A Space to Grow,1968,1.0,0.0,0.0,,,
127,Cactus Flower,1969,1.0,1.0,0.0,4.0,1.0,0.0
128,Paint Your Wagon,1969,1.0,0.0,0.0,2.0,0.0,0.0
129,The Sterile Cuckoo,1969,2.0,0.0,0.0,1.0,0.0,0.0
130,Leo Beuerman,1969,1.0,0.0,0.0,,,
131,"Goodbye, Mr. Chips",1969,2.0,0.0,0.0,3.0,1.0,0.0
132,Last Summer,1969,1.0,0.0,0.0,,,
133,People Soup,1969,1.0,0.0,0.0,,,
134,The Secret of Santa Vittoria,1969,2.0,0.0,0.0,6.0,1.0,1.0
135,An Impression of John Steinbeck: Writer,1969,1.0,0.0,0.0,,,
136,The Reivers,1969,2.0,0.0,0.0,2.0,0.0,0.0
137,In the Year of the Pig,1969,1.0,0.0,0.0,,,
138,Fellini Satyricon,1969,,,,1.0,0.0,0.0
139,The Prime of Miss Jean Brodie,1969,2.0,1.0,0.0,3.0,1.0,0.0
140,Blake,1969,1.0,0.0,0.0,,,
141,The Olympics in Mexico,1969,1.0,0.0,0.0,,,
142,Generation,1969,,,,1.0,0.0,0.0
143,Girls in the Sun,1969,,,,1.0,0.0,0.0
144,Easy Rider,1969,2.0,0.0,0.0,1.0,0.0,0.0
145,Before the Mountain Was Moved,1969,1.0,0.0,0.0,,,
146,If....,1969,,,,1.0,0.0,0.0
147,"If It's Tuesday, This Must Be Belgium",1969,,,,1.0,0.0,0.0
148,Anne of the Thousand Days,1969,10.0,1.0,0.0,7.0,4.0,1.0
149,The Wild Bunch,1969,2.0,0.0,0.0,,,
150,The Wolf Men,1969,1.0,0.0,0.0,,,
151,Butch Cassidy and the Sundance Kid,1969,7.0,4.0,0.0,,,
152,"Krakatoa, East of Java",1969,1.0,0.0,0.0,,,
153,Ådalen '31,1969,1.0,0.0,0.0,,,
154,John and Mary,1969,,,,3.0,0.0,0.0
155,Z,1969,5.0,2.0,0.0,1.0,1.0,0.0
156,Midnight Cowboy,1969,6.0,3.0,1.0,5.0,0.0,0.0
157,My Night at Maud's,1969,1.0,0.0,0.0,,,
158,Mayerling,1969,,,,1.0,0.0,0.0
159,"Me, Natalie",1969,,,,1.0,1.0,0.0
160,Adalen 31,1969,,,,1.0,0.0,0.0
161,Czechoslovakia 1968,1969,1.0,1.0,0.0,,,
162,Marooned,1969,3.0,1.0,0.0,,,
163,Walking,1969,1.0,0.0,0.0,,,
164,Jenny Is a Good Thing,1969,1.0,0.0,0.0,,,
165,Butch Cassidy and The Sundance Kid,1969,,,,4.0,1.0,0.0
166,Arthur Rubinstein - The Love of Life,1969,1.0,1.0,0.0,,,
167,True Grit,1969,2.0,1.0,0.0,2.0,1.0,0.0
168,It's Tough to Be a Bird,1969,1.0,1.0,0.0,,,
169,Bob & Carol & Ted & Alice,1969,4.0,0.0,0.0,1.0,0.0,0.0
170,Oh! What a Lovely War,1969,,,,1.0,1.0,0.0
171,"They Shoot Horses, Don't They?",1969,9.0,1.0,0.0,5.0,0.0,0.0
172,Of Men and Demons,1969,1.0,0.0,0.0,,,
173,"Goodbye, Columbus",1969,1.0,0.0,0.0,2.0,0.0,0.0
174,Popi,1969,,,,1.0,0.0,0.0
175,The Damned,1969,1.0,0.0,0.0,,,
176,Alice's Restaurant,1969,1.0,0.0,0.0,,,
177,"Gaily, Gaily",1969,3.0,0.0,0.0,,,
178,The Happy Ending,1969,2.0,0.0,0.0,3.0,0.0,0.0
179,The Brothers Karamazov,1969,1.0,0.0,0.0,,,
180,The Assassination Bureau,1969,,,,1.0,0.0,0.0
181,Sweet Charity,1969,3.0,0.0,0.0,1.0,0.0,0.0
182,The Battle of Neretva,1969,1.0,0.0,0.0,,,
183,"Hello, Dolly!",1969,7.0,3.0,0.0,4.0,0.0,0.0
184,The Big Dig,1969,,,,1.0,0.0,0.0
185,The Magic Machines,1969,2.0,1.0,0.0,,,
186,The Italian Job,1969,,,,1.0,0.0,0.0
187,King: A Filmed Record...Montgomery to Memphis,1970,1.0,0.0,0.0,,,
188,Chariots of the Gods,1970,1.0,0.0,0.0,,,
189,My Night at Maud's,1970,1.0,0.0,0.0,,,
190,I Never Sang for My Father,1970,3.0,0.0,0.0,,,
191,Women in Love,1970,4.0,1.0,0.0,,,
192,First Love,1970,1.0,0.0,0.0,,,
