year_film,year_award,Golden Globes nominations,nominee,film,Golden Globes winner
2020,2021,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Anya Taylor-Joy,The Queen's Gambit,True
2020,2021,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Cate Blanchett,Mrs. America,False
2020,2021,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Daisy Edgar-Jones,Normal People,False
2020,2021,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Nicole Kidman,"Undoing, The",False
2020,2021,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Shira Haas,Unorthodox,False
2020,2021,Best Performance by an Actress in a Motion Picture - Drama,Andra Day,"United States vs. Billie Holiday, The",True
2020,2021,Best Performance by an Actress in a Motion Picture - Drama,Carey Mulligan,Promising Young Woman,False
2020,2021,Best Performance by an Actress in a Motion Picture - Drama,Frances McDormand,Nomadland,False
2020,2021,Best Performance by an Actress in a Motion Picture - Drama,Vanessa Kirby,Pieces of a Woman,False
2020,2021,Best Performance by an Actress in a Motion Picture - Drama,Viola Davis,Ma Rainey's Black Bottom,False
2020,2021,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Rosamund Pike,I Care A Lot,True
2020,2021,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Anya Taylor-Joy,Emma.,False
2020,2021,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Kate Hudson,Music,False
2020,2021,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Maria Bakalova,Borat Subsequent Moviefilm,False
2020,2021,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Michelle Pfeiffer,French Exit,False
2020,2021,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jodie Foster,"Mauritanian, The",True
2020,2021,Best Performance by an Actress in a Supporting Role in any Motion Picture,Amanda Seyfried,Mank,False
2020,2021,Best Performance by an Actress in a Supporting Role in any Motion Picture,Glenn Close,Hillbilly Elegy,False
2020,2021,Best Performance by an Actress in a Supporting Role in any Motion Picture,Helena Zengel,News of the World,False
2020,2021,Best Performance by an Actress in a Supporting Role in any Motion Picture,Olivia Colman,"Father, The",False
2020,2021,Best Performance by an Actress In A Television Series - Drama,Emma Corrin,"Crown, The",True
2020,2021,Best Performance by an Actress In A Television Series - Drama,Jodie Comer,Killing Eve,False
2020,2021,Best Performance by an Actress In A Television Series - Drama,Laura Linney,Ozark,False
2020,2021,Best Performance by an Actress In A Television Series - Drama,Olivia Colman,"Crown, The",False
2020,2021,Best Performance by an Actress In A Television Series - Drama,Sarah Paulson,Ratched,False
2020,2021,Best Performance by an Actress in a Television Series - Musical or Comedy,Catherine O'Hara,Schitt's Creek,True
2020,2021,Best Performance by an Actress in a Television Series - Musical or Comedy,Elle Fanning,"Great, The",False
2020,2021,Best Performance by an Actress in a Television Series - Musical or Comedy,Jane Levy,Zoey's Extraordinary Playlist,False
2020,2021,Best Performance by an Actress in a Television Series - Musical or Comedy,Kaley Cuoco,"Flight Attendant, The",False
2020,2021,Best Performance by an Actress in a Television Series - Musical or Comedy,Lily Collins,Emily in Paris,False
2020,2021,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Gillian Anderson,"Crown, The",True
2020,2021,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Annie Murphy,Schitt's Creek,False
2020,2021,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Cynthia Nixon,Ratched,False
2020,2021,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Helena Bonham Carter,"Crown, The",False
2020,2021,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Julia Garner,Ozark,False
2020,2021,Best Screenplay - Motion Picture,Aaron Sorkin,"Trial of the Chicago 7, The",True
2020,2021,Best Screenplay - Motion Picture,Chloé Zhao,Nomadland,False
2020,2021,Best Screenplay - Motion Picture,Emerald Fennell,Promising Young Woman,False
2020,2021,Best Screenplay - Motion Picture,Florian Zeller,"Father, The",False
2020,2021,Best Screenplay - Motion Picture,Jack Fincher,Mank,False
2020,2021,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",The Queen's Gambit,,True
2020,2021,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Normal People,,False
2020,2021,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Small Axe,,False
2020,2021,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television","Undoing, The",,False
2020,2021,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Unorthodox,,False
2020,2021,Best Television Series - Drama,"Crown, The",,True
2020,2021,Best Television Series - Drama,Lovecraft Country,,False
2020,2021,Best Television Series - Drama,"Mandalorian, The",,False
2020,2021,Best Television Series - Drama,Ozark,,False
2020,2021,Best Television Series - Drama,Ratched,,False
2020,2021,Best Television Series - Musical or Comedy,Schitt's Creek,,True
2020,2021,Best Television Series - Musical or Comedy,Emily in Paris,,False
2020,2021,Best Television Series - Musical or Comedy,"Flight Attendant, The",,False
2020,2021,Best Television Series - Musical or Comedy,"Great, The",,False
2020,2021,Best Television Series - Musical or Comedy,Ted Lasso,,False
2020,2021,Carol Burnett Award,Norman Lear,,True
2020,2021,Cecil B. deMille Award,Jane Fonda,,True
2021,2022,Best Director - Motion Picture,Jane Campion,"Power of the Dog, The",True
2021,2022,Best Director - Motion Picture,Denis Villeneuve,Dune,False
2021,2022,Best Director - Motion Picture,Kenneth Branagh,Belfast,False
2021,2022,Best Director - Motion Picture,Maggie Gyllenhaal,"Lost Daughter, The",False
2021,2022,Best Director - Motion Picture,Steven Spielberg,West Side Story (2021),False
2021,2022,Best Motion Picture - Animated,Encanto,,True
2021,2022,Best Motion Picture - Animated,Flee,,False
2021,2022,Best Motion Picture - Animated,Luca,,False
2021,2022,Best Motion Picture - Animated,My Sunny Maad,,False
2021,2022,Best Motion Picture - Animated,Raya and the Last Dragon,,False
2021,2022,Best Motion Picture - Drama,"Power of the Dog, The",,True
2021,2022,Best Motion Picture - Drama,Belfast,,False
2021,2022,Best Motion Picture - Drama,CODA,,False
2021,2022,Best Motion Picture - Drama,Dune,,False
2021,2022,Best Motion Picture - Drama,King Richard,,False
2021,2022,Best Motion Picture - Musical or Comedy,West Side Story (2021),,True
2021,2022,Best Motion Picture - Musical or Comedy,Cyrano,,False
2021,2022,Best Motion Picture - Musical or Comedy,Don't Look Up,,False
2021,2022,Best Motion Picture - Musical or Comedy,Licorice Pizza,,False
2021,2022,Best Motion Picture - Musical or Comedy,"tick, tick...BOOM!",,False
2021,2022,Best Motion Picture – Non-English Language,Drive My Car,,True
2021,2022,Best Motion Picture – Non-English Language,Compartment No. 6,"Finland, Russia, Germany",False
2021,2022,Best Motion Picture – Non-English Language,"Hero, A","France, Iran",False
2021,2022,Best Motion Picture – Non-English Language,"Hand of God, The",Italy,False
2021,2022,Best Motion Picture – Non-English Language,Parallel Mothers,Spain,False
2021,2022,Best Original Score - Motion Picture,Hans Zimmer,Dune,True
2021,2022,Best Original Score - Motion Picture,Alberto Iglesias,Parallel Mothers,False
2021,2022,Best Original Score - Motion Picture,Alexandre Desplat,"French Dispatch, The",False
2021,2022,Best Original Score - Motion Picture,Germaine Franco,Encanto,False
2021,2022,Best Original Score - Motion Picture,Jonny Greenwood,"Power of the Dog, The",False
2021,2022,Best Original Song - Motion Picture,No Time To Die,Billie Eilish,True
2021,2022,Best Original Song - Motion Picture,Be Alive,,False
2021,2022,Best Original Song - Motion Picture,Dos Oruguitas,,False
2021,2022,Best Original Song - Motion Picture,Down to Joy,,False
2021,2022,Best Original Song - Motion Picture,Here I Am (Singing My Way Home),Jennifer Hudson,False
2021,2022,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Michael Keaton,Dopesick,True
2021,2022,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Ewan McGregor,Halston,False
2021,2022,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Oscar Isaac,Scenes from a Marriage-TV,False
2021,2022,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Paul Bettany,WandaVision,False
2021,2022,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Tahar Rahim,"Serpent, The",False
2021,2022,Best Performance by an Actor in a Motion Picture - Drama,Will Smith,King Richard,True
2021,2022,Best Performance by an Actor in a Motion Picture - Drama,Benedict Cumberbatch,"Power of the Dog, The",False
2021,2022,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,"Tragedy of Macbeth, The",False
2021,2022,Best Performance by an Actor in a Motion Picture - Drama,Javier Bardem,Being the Ricardos,False
2021,2022,Best Performance by an Actor in a Motion Picture - Drama,Mahershala Ali,Swan Song,False
2021,2022,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Andrew Garfield,"tick, tick...BOOM!",True
2021,2022,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Anthony Ramos,In the Heights,False
2021,2022,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Cooper Hoffman,Licorice Pizza,False
2021,2022,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Leonardo DiCaprio,Don't Look Up,False
2021,2022,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Peter Dinklage,Cyrano,False
2021,2022,Best Performance by an Actor in a Supporting Role in any Motion Picture,Kodi Smit-McPhee,"Power of the Dog, The",True
2021,2022,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ben Affleck,"Tender Bar, The",False
2021,2022,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ciarán Hinds,Belfast,False
2021,2022,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jamie Dornan,Belfast,False
2021,2022,Best Performance by an Actor in a Supporting Role in any Motion Picture,Troy Kotsur,CODA,False
2021,2022,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Young-soo Oh,Squid Game,True
2021,2022,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Billy Crudup,"Morning Show, The",False
2021,2022,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Brett Goldstein,Ted Lasso,False
2021,2022,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kieran Culkin,Succession,False
2021,2022,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Mark Duplass,"Morning Show, The",False
2021,2022,Best Performance by an Actor In A Television Series - Drama,Jeremy Strong,Succession,True
2021,2022,Best Performance by an Actor In A Television Series - Drama,Billy Porter,Pose,False
2021,2022,Best Performance by an Actor In A Television Series - Drama,Brian Cox,Succession,False
2021,2022,Best Performance by an Actor In A Television Series - Drama,Jung-jae Lee,Squid Game,False
2021,2022,Best Performance by an Actor In A Television Series - Drama,Omar Sy,Lupin,False
2021,2022,Best Performance by an Actor in a Television Series - Musical or Comedy,Jason Sudeikis,Ted Lasso,True
2021,2022,Best Performance by an Actor in a Television Series - Musical or Comedy,Anthony Anderson,Black-ish,False
2021,2022,Best Performance by an Actor in a Television Series - Musical or Comedy,Martin Short,Only Murders in the Building,False
2021,2022,Best Performance by an Actor in a Television Series - Musical or Comedy,Nicholas Hoult,"Great, The",False
2021,2022,Best Performance by an Actor in a Television Series - Musical or Comedy,Steve Martin,Only Murders in the Building,False
2021,2022,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Kate Winslet,Mare of Easttown,True
2021,2022,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Cynthia Erivo,Genius: Aretha,False
2021,2022,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Elizabeth Olsen,WandaVision,False
2021,2022,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Jessica Chastain,Scenes from a Marriage-TV,False
2021,2022,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Margaret Qualley,Maid,False
2021,2022,Best Performance by an Actress in a Motion Picture - Drama,Nicole Kidman,Being the Ricardos,True
2021,2022,Best Performance by an Actress in a Motion Picture - Drama,Jessica Chastain,"Eyes of Tammy Faye, The",False
2021,2022,Best Performance by an Actress in a Motion Picture - Drama,Kristen Stewart,Spencer,False
2021,2022,Best Performance by an Actress in a Motion Picture - Drama,Stefani Germanotta,House of Gucci,False
2021,2022,Best Performance by an Actress in a Motion Picture - Drama,Olivia Colman,"Lost Daughter, The",False
2021,2022,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Rachel Zegler,West Side Story (2021),True
2021,2022,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Alana Haim,Licorice Pizza,False
2021,2022,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Stone,Cruella,False
2021,2022,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jennifer Lawrence,Don't Look Up,False
2021,2022,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Marion Cotillard,Annette,False
2021,2022,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ariana DeBose,West Side Story (2021),True
2021,2022,Best Performance by an Actress in a Supporting Role in any Motion Picture,Aunjanue Ellis,King Richard,False
2021,2022,Best Performance by an Actress in a Supporting Role in any Motion Picture,Caitriona Balfe,Belfast,False
2021,2022,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kirsten Dunst,"Power of the Dog, The",False
2021,2022,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ruth Negga,Passing,False
2021,2022,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sarah Snook,Succession,True
2021,2022,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Andie MacDowell,Maid,False
2021,2022,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Hannah Waddingham,Ted Lasso,False
2021,2022,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jennifer Coolidge,"White Lotus, The",False
2021,2022,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kaitlyn Dever,Dopesick,False
2021,2022,Best Performance by an Actress In A Television Series - Drama,Michaela Rodriguez,Pose,True
2021,2022,Best Performance by an Actress In A Television Series - Drama,Christine Baranski,"Good Fight, The",False
2021,2022,Best Performance by an Actress In A Television Series - Drama,Elisabeth Moss,"Handmaid's Tale, The",False
2021,2022,Best Performance by an Actress In A Television Series - Drama,Jennifer Aniston,"Morning Show, The",False
2021,2022,Best Performance by an Actress In A Television Series - Drama,Uzo Aduba,In Treatment,False
2021,2022,Best Performance by an Actress in a Television Series - Musical or Comedy,Jean Smart,Hacks,True
2021,2022,Best Performance by an Actress in a Television Series - Musical or Comedy,Elle Fanning,"Great, The",False
2021,2022,Best Performance by an Actress in a Television Series - Musical or Comedy,Hannah Einbinder,Hacks,False
2021,2022,Best Performance by an Actress in a Television Series - Musical or Comedy,Issa Rae,Insecure,False
2021,2022,Best Performance by an Actress in a Television Series - Musical or Comedy,Tracee Ross,Black-ish,False
2021,2022,Best Screenplay - Motion Picture,Kenneth Branagh,Belfast,True
2021,2022,Best Screenplay - Motion Picture,Aaron Sorkin,Being the Ricardos,False
2021,2022,Best Screenplay - Motion Picture,Adam McKay,Don't Look Up,False
2021,2022,Best Screenplay - Motion Picture,Jane Campion,"Power of the Dog, The",False
2021,2022,Best Screenplay - Motion Picture,Paul Thomas Anderson,Licorice Pizza,False
2021,2022,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television","Underground Railroad, The",,True
2021,2022,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Dopesick,,False
2021,2022,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Impeachment: American Crime Story,,False
2021,2022,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Maid,,False
2021,2022,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Mare of Easttown,,False
2021,2022,Best Television Series - Drama,Succession,,True
2021,2022,Best Television Series - Drama,Lupin,,False
2021,2022,Best Television Series - Drama,"Morning Show, The",,False
2021,2022,Best Television Series - Drama,Pose,,False
2021,2022,Best Television Series - Drama,Squid Game,,False
2021,2022,Best Television Series - Musical or Comedy,Hacks,,True
2021,2022,Best Television Series - Musical or Comedy,"Great, The",,False
2021,2022,Best Television Series - Musical or Comedy,Only Murders in the Building,,False
2021,2022,Best Television Series - Musical or Comedy,Reservation Dogs,,False
2021,2022,Best Television Series - Musical or Comedy,Ted Lasso,,False
2022,2023,Best Director - Motion Picture,Steven Spielberg,"Fabelmans, The",True
2022,2023,Best Director - Motion Picture,Baz Luhrmann,Elvis,False
2022,2023,Best Director - Motion Picture,Daniel Kwan,Everything Everywhere All at Once,False
2022,2023,Best Director - Motion Picture,James Cameron,Avatar: The Way of Water,False
2022,2023,Best Director - Motion Picture,Martin McDonagh,"Banshees of Inisherin, The",False
2022,2023,Best Motion Picture - Animated,Guillermo del Toro's Pinocchio,Guillermo Del Toro,True
2022,2023,Best Motion Picture - Animated,Inu-Oh,,False
2022,2023,Best Motion Picture - Animated,Marcel the Shell with Shoes On,,False
2022,2023,Best Motion Picture - Animated,Puss in Boots: The Last Wish,,False
2022,2023,Best Motion Picture - Animated,Turning Red,,False
2022,2023,Best Motion Picture - Drama,"Fabelmans, The",,True
2022,2023,Best Motion Picture - Drama,Avatar: The Way of Water,,False
2022,2023,Best Motion Picture - Drama,Elvis,,False
2022,2023,Best Motion Picture - Drama,Top Gun: Maverick,,False
2022,2023,Best Motion Picture - Drama,TÁR,,False
2022,2023,Best Motion Picture - Musical or Comedy,"Banshees of Inisherin, The",,True
2022,2023,Best Motion Picture - Musical or Comedy,Babylon,,False
2022,2023,Best Motion Picture - Musical or Comedy,Everything Everywhere All at Once,,False
2022,2023,Best Motion Picture - Musical or Comedy,Glass Onion: A Knives Out Mystery,,False
2022,2023,Best Motion Picture - Musical or Comedy,Triangle of Sadness,,False
2022,2023,Best Motion Picture – Non-English Language,"Argentina, 1985",,True
2022,2023,Best Motion Picture – Non-English Language,Close,"Belgium, France, Netherlands",False
2022,2023,Best Motion Picture – Non-English Language,All Quiet on the Western Front,Germany,False
2022,2023,Best Motion Picture – Non-English Language,RRR,India,False
2022,2023,Best Motion Picture – Non-English Language,Decision to Leave,South Korea,False
2022,2023,Best Original Score - Motion Picture,Justin Hurwitz,Babylon,True
2022,2023,Best Original Score - Motion Picture,Alexandre Desplat,Guillermo del Toro's Pinocchio,False
2022,2023,Best Original Score - Motion Picture,Carter Burwell,"Banshees of Inisherin, The",False
2022,2023,Best Original Score - Motion Picture,Hildur Guðnadóttir,Women Talking,False
2022,2023,Best Original Score - Motion Picture,John Williams,"Fabelmans, The",False
2022,2023,Best Original Song - Motion Picture,Naatu Naatu,M.M. Keeravaani,True
2022,2023,Best Original Song - Motion Picture,Carolina,Taylor Swift,False
2022,2023,Best Original Song - Motion Picture,Ciao Papa,"Alexandre Desplat                    , 
                      Roeban Katz                    , 
                      Guillermo Del Toro",False
2022,2023,Best Original Song - Motion Picture,Hold My Hand,"Stefani Germanotta                    , 
                      Benjamin Rice",False
2022,2023,Best Original Song - Motion Picture,Lift Me Up,"Ryan Coogler                    , 
                      Ludwig Göransson",False
2022,2023,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Evan Peters,Dahmer - Monster: The Jeffrey Dahmer Story,True
2022,2023,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Andrew Garfield,Under the Banner of Heaven,False
2022,2023,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Colin Firth,"Staircase, The",False
2022,2023,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Sebastian Stan,Pam & Tommy,False
2022,2023,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Taron Egerton,Black Bird,False
2022,2023,Best Performance by an Actor in a Motion Picture - Drama,Austin Butler,Elvis,True
2022,2023,Best Performance by an Actor in a Motion Picture - Drama,Bill Nighy,Living,False
2022,2023,Best Performance by an Actor in a Motion Picture - Drama,Brendan Fraser,"Whale, The",False
2022,2023,Best Performance by an Actor in a Motion Picture - Drama,Hugh Jackman,"Son, The",False
2022,2023,Best Performance by an Actor in a Motion Picture - Drama,Jeremy Pope,"Inspection, The",False
2022,2023,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Colin Farrell,"Banshees of Inisherin, The",True
2022,2023,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Adam Driver,White Noise,False
2022,2023,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Daniel Craig,Glass Onion: A Knives Out Mystery,False
2022,2023,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Diego Calva,Babylon,False
2022,2023,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ralph Fiennes,"Menu, The",False
2022,2023,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ke Quan,Everything Everywhere All at Once,True
2022,2023,Best Performance by an Actor in a Supporting Role in any Motion Picture,Barry Keoghan,"Banshees of Inisherin, The",False
2022,2023,Best Performance by an Actor in a Supporting Role in any Motion Picture,Brad Pitt,Babylon,False
