year_film,year_ceremony,category,name,film,winner
1981,1982,International feature film,Hungary,Mephisto,True
1981,1982,International feature film,Japan,Muddy River,False
1981,1982,International feature film,Italy,Three Brothers,False
1981,1982,Makeup and hairstyling,Rick Baker,An American Werewolf in London,True
1981,1982,Makeup and hairstyling,Stan Winston,Heartbeeps,False
1981,1982,Original score,Vangelis,Chariots of Fire,True
1981,1982,Original score,Alex North,Dragonslayer,False
1981,1982,Original score,Dave Grusin,On Golden Pond,False
1981,1982,Original score,Randy Newman,Ragtime,False
1981,1982,Original score,John Williams,Raiders of the Lost Ark,False
1981,1982,Original song,"Music and Lyric by Burt Bacharach, Carole Bayer Sager, Christopher Cross and Peter Allen",Arthur,True
1981,1982,Original song,Music and Lyric by Lionel Richie,Endless Love,False
1981,1982,Original song,Music and Lyric by Joe Raposo,The Great Muppet Caper,False
1981,1982,Original song,Music by Bill Conti; Lyric by Mick Leeson,For Your Eyes Only,False
1981,1982,Original song,Music and Lyric by Randy Newman,Ragtime,False
1981,1982,Best picture,"Denis Heroux and John Kemeny, Producers",Atlantic City,False
1981,1982,Best picture,"David Puttnam, Producer",Chariots of Fire,True
1981,1982,Best picture,"Bruce Gilbert, Producer",On Golden Pond,False
1981,1982,Best picture,"Frank Marshall, Producer",Raiders of the Lost Ark,False
1981,1982,Best picture,"Warren Beatty, Producer",Reds,False
1981,1982,Short film animated,"Frédéric Back, Producer",Crac,True
1981,1982,Short film animated,"Will Vinton, Producer",The Creation,False
1981,1982,Short film animated,"Janet Perlman, Producer",The Tender Tale of Cinderella Penguin,False
1981,1982,Short film live action,"Christine Oestreicher, Producer",Couples and Robbers,False
1981,1982,Short film live action,"John N. Smith, Producer",First Winter,False
1981,1982,Short film live action,"Paul Kemp and Shelley Levinson, Producers",Violet,True
1981,1982,Sound effects,"Richard Portman, David Ronne",On Golden Pond,False
1981,1982,Sound effects,"John K. Wilkinson, Robert W. Glass, Jr., Robert M. Thirlwell, Robin Gregory",Outland,False
1981,1982,Sound effects,"Michael J. Kohut, Jay M. Harding, Richard Tyler, Al Overton",Pennies from Heaven,False
1981,1982,Sound effects,"Bill Varney, Steve Maslow, Gregg Landaker, Roy Charman",Raiders of the Lost Ark,True
1981,1982,Sound effects,"Dick Vorisek, Tom Fleischman, Simon Kaye",Reds,False
1981,1982,Visual effects,"Dennis Muren, Phil Tippett, Ken Ralston, Brian Johnson",Dragonslayer,False
1981,1982,Visual effects,"Richard Edlund, Kit West, Bruce Nicholson, Joe Johnston",Raiders of the Lost Ark,True
1981,1982,Adapted screenplay,Harold Pinter,The French Lieutenant's Woman,False
1981,1982,Adapted screenplay,Ernest Thompson,On Golden Pond,True
1981,1982,Adapted screenplay,Dennis Potter,Pennies from Heaven,False
1981,1982,Adapted screenplay,"Jay Presson Allen, Sidney Lumet",Prince of the City,False
1981,1982,Adapted screenplay,Michael Weller,Ragtime,False
1981,1982,Adapted screenplay,Kurt Luedtke,Absence of Malice,False
1981,1982,Adapted screenplay,Steve Gordon,Arthur,False
1981,1982,Adapted screenplay,John Guare,Atlantic City,False
1981,1982,Adapted screenplay,Colin Welland,Chariots of Fire,True
1981,1982,Adapted screenplay,"Warren Beatty, Trevor Griffiths",Reds,False
1981,1982,Sound effects,"Ben Burtt, Richard L. Anderson",Raiders of the Lost Ark,True
1982,1983,Actor in a leading role,Dustin Hoffman,Tootsie,False
1982,1983,Actor in a leading role,Ben Kingsley,Gandhi,True
1982,1983,Actor in a leading role,Jack Lemmon,Missing,False
1982,1983,Actor in a leading role,Paul Newman,The Verdict,False
1982,1983,Actor in a leading role,Peter O'Toole,My Favorite Year,False
1982,1983,Actor in a supporting role,Charles Durning,The Best Little Whorehouse in Texas,False
1982,1983,Actor in a supporting role,"Louis Gossett, Jr.",An Officer and a Gentleman,True
1982,1983,Actor in a supporting role,John Lithgow,The World According to Garp,False
1982,1983,Actor in a supporting role,James Mason,The Verdict,False
1982,1983,Actor in a supporting role,Robert Preston,Victor/Victoria,False
1982,1983,Actress in a leading role,Julie Andrews,Victor/Victoria,False
1982,1983,Actress in a leading role,Jessica Lange,Frances,False
1982,1983,Actress in a leading role,Sissy Spacek,Missing,False
1982,1983,Actress in a leading role,Meryl Streep,Sophie's Choice,True
1982,1983,Actress in a leading role,Debra Winger,An Officer and a Gentleman,False
1982,1983,Actress in a supporting role,Glenn Close,The World According to Garp,False
1982,1983,Actress in a supporting role,Teri Garr,Tootsie,False
1982,1983,Actress in a supporting role,Jessica Lange,Tootsie,True
1982,1983,Actress in a supporting role,Kim Stanley,Frances,False
1982,1983,Actress in a supporting role,Lesley Ann Warren,Victor/Victoria,False
1982,1983,Production design,Art Direction:  Dale Hennesy; Set Decoration:  Marvin March,Annie,False
1982,1983,Production design,"Art Direction:  Lawrence G. Paull, David L. Snyder;  Set Decoration:  Linda DeScenna",Blade Runner,False
1982,1983,Production design,"Art Direction:  Stuart Craig, Bob Laing;  Set Decoration:  Michael Seirton",Gandhi,True
1982,1983,Production design,Art Direction:  Franco Zeffirelli;  Set Decoration:  Gianni Quaranta,La Traviata,False
1982,1983,Production design,"Art Direction:  Rodger Maus, Tim Hutchinson, William Craig Smith;  Set Decoration:  Harry Cordwell",Victor/Victoria,False
1982,1983,Cinematography,Jost Vacano,Das Boot,False
1982,1983,Cinematography,Allen Daviau,E.T. The Extra-Terrestrial,False
1982,1983,Cinematography,"Billy Williams, Ronnie Taylor",Gandhi,True
1982,1983,Cinematography,Nestor Almendros,Sophie's Choice,False
1982,1983,Cinematography,Owen Roizman,Tootsie,False
1982,1983,Costume design,"John Mollo, Bhanu Athaiya",Gandhi,True
1982,1983,Costume design,Piero Tosi,La Traviata,False
1982,1983,Costume design,Albert Wolsky,Sophie's Choice,False
1982,1983,Costume design,"Elois Jenssen, Rosanna Norton",Tron,False
1982,1983,Costume design,Patricia Norris,Victor/Victoria,False
1982,1983,Director,Wolfgang Petersen,Das Boot,False
1982,1983,Director,Steven Spielberg,E.T. The Extra-Terrestrial,False
1982,1983,Director,Richard Attenborough,Gandhi,True
1982,1983,Director,Sydney Pollack,Tootsie,False
1982,1983,Director,Sidney Lumet,The Verdict,False
1982,1983,Documentary feature,"Sturla Gunnarsson and Steve Lucas, Producers",After the Axe,False
1982,1983,Documentary feature,"John Karol and Michel Chalufour, Producers",Ben's Mill,False
1982,1983,Documentary feature,"Meg Switzgable, Producer",In Our Water,False
1982,1983,Documentary feature,"John Zaritsky, Producer",Just Another Missing Kid,True
1982,1983,Documentary feature,"Joseph Wishy, Producer",A Portrait of Giselle,False
1982,1983,Documentary short film,"Robert Richter, Producer",Gods of Metal,False
1982,1983,Documentary short film,"Edward Le Lorrain and Terri Nash, Producers",If You Love This Planet,True
1982,1983,Documentary short film,"Charles Guggenheim and Werner Schumann, Producers",The Klan: A Legacy of Hate in America,False
1982,1983,Documentary short film,"Freida Lee Mock, Producer",To Live or Let Die,False
1982,1983,Documentary short film,"John G. Avildsen, Producer",Traveling Hopefully,False
1982,1983,Film editing,Hannes Nikel,Das Boot,False
1982,1983,Film editing,Carol Littleton,E.T. The Extra-Terrestrial,False
1982,1983,Film editing,John Bloom,Gandhi,True
1982,1983,Film editing,Peter Zinner,An Officer and a Gentleman,False
1982,1983,Film editing,"Fredric Steinkamp, William Steinkamp",Tootsie,False
1982,1983,International feature film,Nicaragua,Alsino and the Condor,False
1982,1983,International feature film,France,Coup de Torchon ('Clean Slate'),False
1982,1983,International feature film,Sweden,The Flight of the Eagle,False
1982,1983,International feature film,Union of Soviet Socialist Republics,Private Life,False
1982,1983,International feature film,Spain,Volver a Empezar ('To Begin Again'),True
1982,1983,Makeup and hairstyling,Tom Smith,Gandhi,False
1982,1983,Makeup and hairstyling,"Sarah Monzani, Michèle Burke",Quest for Fire,True
1982,1983,Original score,John Williams,E.T. The Extra-Terrestrial,True
1982,1983,Original score,"Ravi Shankar, George Fenton",Gandhi,False
1982,1983,Original score,Jack Nitzsche,An Officer and a Gentleman,False
1982,1983,Original score,Jerry Goldsmith,Poltergeist,False
1982,1983,Original score,Marvin Hamlisch,Sophie's Choice,False
1982,1983,Original score,Adaptation Score by Ralph Burns,Annie,False
1982,1983,Original score,Song Score by Tom Waits,One from the Heart,False
1982,1983,Original score,Song Score by Henry Mancini and Leslie Bricusse; Adaptation Score by Henry Mancini,Victor/Victoria,True
1982,1983,Original song,Music and Lyric by Jim Peterik and Frankie Sullivan III,Rocky III,False
1982,1983,Original song,Music by Michel Legrand; Lyric by Alan Bergman and Marilyn Bergman,Best Friends,False
1982,1983,Original song,Music by John Williams; Lyric by Alan Bergman and Marilyn Bergman,"Yes, Giorgio",False
1982,1983,Original song,Music by Dave Grusin; Lyric by Alan Bergman and Marilyn Bergman,Tootsie,False
1982,1983,Original song,Music by Jack Nitzsche and Buffy Sainte-Marie; Lyric by Will Jennings,An Officer and a Gentleman,True
1982,1983,Best picture,"Steven Spielberg and Kathleen Kennedy, Producers",E.T. The Extra-Terrestrial,False
1982,1983,Best picture,"Richard Attenborough, Producer",Gandhi,True
1982,1983,Best picture,"Edward Lewis and Mildred Lewis, Producers",Missing,False
1982,1983,Best picture,"Sydney Pollack and Dick Richards, Producers",Tootsie,False
1982,1983,Best picture,"Richard D. Zanuck and David Brown, Producers",The Verdict,False
1982,1983,Short film animated,"Will Vinton, Producer",The Great Cognito,False
1982,1983,Short film animated,"John Coates, Producer",The Snowman,False
1982,1983,Short film animated,"Zbigniew Rybczynski, Producer",Tango,True
1982,1983,Short film live action,"Bob Rogers, Producer",Ballet Robotique,False
1982,1983,Short film live action,"Christine Oestreicher, Producer",A Shocking Accident,True
1982,1983,Short film live action,"Michael Toshiyuki Uno and Joseph Benson, Producers",The Silence,False
1982,1983,Short film live action,"Jan Saunders, Producer",Split Cherry Tree,False
1982,1983,Short film live action,"Andrew Birkin, Producer",Sredni Vashtar,False
1982,1983,Sound effects,"Milan Bor, Trevor Pyke, Mike Le-Mare",Das Boot,False
1982,1983,Sound effects,"Robert Knudson, Robert Glass, Don Digirolamo, Gene Cantamessa",E.T. The Extra-Terrestrial,True
1982,1983,Sound effects,"Gerry Humphreys, Robin O'Donoghue, Jonathan Bates, Simon Kaye",Gandhi,False
1982,1983,Sound effects,"Arthur Piantadosi, Les Fresholtz, Dick Alexander, Les Lazarowitz",Tootsie,False
1982,1983,Sound effects,"Michael Minkler, Bob Minkler, Lee Minkler, Jim La Rue",Tron,False
1982,1983,Sound effects,Mike Le-Mare,Das Boot,False
1982,1983,Sound effects,"Charles L. Campbell, Ben Burtt",E.T. The Extra-Terrestrial,True
1982,1983,Sound effects,"Stephen Hunter Flick, Richard L. Anderson",Poltergeist,False
1982,1983,Visual effects,"Douglas Trumbull, Richard Yuricich, David Dryer",Blade Runner,False
1982,1983,Visual effects,"Carlo Rambaldi, Dennis Muren, Kenneth F. Smith",E.T. The Extra-Terrestrial,True
1982,1983,Visual effects,"Richard Edlund, Michael Wood, Bruce Nicholson",Poltergeist,False
1982,1983,Adapted screenplay,Wolfgang Petersen,Das Boot,False
1982,1983,Adapted screenplay,"Costa-Gavras, Donald Stewart",Missing,True
1982,1983,Adapted screenplay,Alan J. Pakula,Sophie's Choice,False
1982,1983,Adapted screenplay,David Mamet,The Verdict,False
1982,1983,Adapted screenplay,Blake Edwards,Victor/Victoria,False
1982,1983,Adapted screenplay,Barry Levinson,Diner,False
1982,1983,Adapted screenplay,Melissa Mathison,E.T. The Extra-Terrestrial,False
1982,1983,Adapted screenplay,John Briley,Gandhi,True
1982,1983,Adapted screenplay,Douglas Day Stewart,An Officer and a Gentleman,False
1982,1983,Adapted screenplay,"Screenplay by Larry Gelbart, Murray Schisgal; Story by Don McGuire, Larry Gelbart",Tootsie,False
1983,1984,Actor in a leading role,Michael Caine,Educating Rita,False
1983,1984,Actor in a leading role,Tom Conti,"Reuben, Reuben",False
1983,1984,Actor in a leading role,Tom Courtenay,The Dresser,False
1983,1984,Actor in a leading role,Robert Duvall,Tender Mercies,True
1983,1984,Actor in a leading role,Albert Finney,The Dresser,False
1983,1984,Actor in a supporting role,Charles Durning,To Be or Not to Be,False
1983,1984,Actor in a supporting role,John Lithgow,Terms of Endearment,False
1983,1984,Actor in a supporting role,Jack Nicholson,Terms of Endearment,True
1983,1984,Actor in a supporting role,Sam Shepard,The Right Stuff,False
1983,1984,Actor in a supporting role,Rip Torn,Cross Creek,False
1983,1984,Actress in a leading role,Jane Alexander,Testament,False
1983,1984,Actress in a leading role,Shirley MacLaine,Terms of Endearment,True
1983,1984,Actress in a leading role,Meryl Streep,Silkwood,False
1983,1984,Actress in a leading role,Julie Walters,Educating Rita,False
1983,1984,Actress in a leading role,Debra Winger,Terms of Endearment,False
1983,1984,Actress in a supporting role,Cher,Silkwood,False
1983,1984,Actress in a supporting role,Glenn Close,The Big Chill,False
1983,1984,Actress in a supporting role,Linda Hunt,The Year of Living Dangerously,True
1983,1984,Actress in a supporting role,Amy Irving,Yentl,False
1983,1984,Actress in a supporting role,Alfre Woodard,Cross Creek,False
1983,1984,Production design,Anna Asp,Fanny & Alexander,True
1983,1984,Production design,"Art Direction:  Norman Reynolds, Fred Hole, James Schoppe;  Set Decoration:  Michael Ford",Return of the Jedi,False
1983,1984,Production design,"Art Direction:  Geoffrey Kirkland, Richard J. Lawrence, W. Stewart Campbell, Peter Romero;  Set Decoration:  Pat Pending, George R. Nelson",The Right Stuff,False
1983,1984,Production design,"Art Direction:  Polly Platt, Harold Michelson;  Set Decoration:  Tom Pedigo, Anthony Mondello",Terms of Endearment,False
1983,1984,Production design,"Art Direction:  Roy Walker, Leslie Tomkins;  Set Decoration:  Tessa Davies",Yentl,False
1983,1984,Cinematography,Sven Nykvist,Fanny & Alexander,True
1983,1984,Cinematography,Don Peterman,Flashdance,False
1983,1984,Cinematography,Caleb Deschanel,The Right Stuff,False
1983,1984,Cinematography,William A. Fraker,WarGames,False
1983,1984,Cinematography,Gordon Willis,Zelig,False
1983,1984,Costume design,Joe I. Tompkins,Cross Creek,False
1983,1984,Costume design,Marik Vos,Fanny & Alexander,True
1983,1984,Costume design,William Ware Theiss,Heart Like a Wheel,False
1983,1984,Costume design,Anne-Marie Marchand,The Return of Martin Guerre,False
1983,1984,Costume design,Santo Loquasto,Zelig,False
1983,1984,Director,Peter Yates,The Dresser,False
1983,1984,Director,Ingmar Bergman,Fanny & Alexander,False
1983,1984,Director,Mike Nichols,Silkwood,False
1983,1984,Director,Bruce Beresford,Tender Mercies,False
1983,1984,Director,James L. Brooks,Terms of Endearment,True
1983,1984,Documentary feature,"Richard Kotuk and Ara Chekmayan, Producers",Children of Darkness,False
1983,1984,Documentary feature,"Bob Connolly and Robin Anderson, Producers",First Contact,False
1983,1984,Documentary feature,"Emile Ardolino, Producer",He Makes Me Feel Like Dancin',True
1983,1984,Documentary feature,"Michael Bryans and Tina Viljoen, Producers",The Profession of Arms,False
1983,1984,Documentary feature,"James Klein and Julia Reichert, Producers",Seeing Red,False
1983,1984,Documentary short film,"Cynthia Scott and Adam Symansky, Producers",Flamenco at 5:15,True
1983,1984,Documentary short film,"Vivienne Verdon-Roe and Eric Thiermann, Producers",In the Nuclear Shadow: What Can the Children Tell Us?,False
1983,1984,Documentary short film,"Arthur Dong, Producer",Sewing Woman,False
1983,1984,Documentary short film,"Robert Eisenhardt, Producer",Spaces: The Architecture of Paul Rudolph,False
1983,1984,Documentary short film,"Dea Brokman and Ilene Landis, Producers",You Are Free  (Ihr Zent Frei),False
1983,1984,Film editing,"Frank Morriss, Edward Abroms",Blue Thunder,False
1983,1984,Film editing,"Bud Smith, Walt Mulconery",Flashdance,False
1983,1984,Film editing,"Glenn Farr, Lisa Fruchtman, Stephen A. Rotter, Douglas Stewart, Tom Rolf",The Right Stuff,True
1983,1984,Film editing,Sam O'Steen,Silkwood,False
1983,1984,Film editing,Richard Marks,Terms of Endearment,False
1983,1984,International feature film,Spain,Carmen,False
1983,1984,International feature film,France,Entre Nous,False
1983,1984,International feature film,Sweden,Fanny & Alexander,True
1983,1984,International feature film,Hungary,Job's Revolt,False
1983,1984,International feature film,Algeria,Le Bal,False
1983,1984,Original score,Leonard Rosenman,Cross Creek,False
1983,1984,Original score,John Williams,Return of the Jedi,False
1983,1984,Original score,Bill Conti,The Right Stuff,True
1983,1984,Original score,Michael Gore,Terms of Endearment,False
1983,1984,Original score,Jerry Goldsmith,Under Fire,False
1983,1984,Original score,Adaptation Score by Lalo Schifrin,The Sting II,False
1983,1984,Original score,Adaptation Score by Elmer Bernstein,Trading Places,False
1983,1984,Original score,"Song Score by Michel Legrand, Alan Bergman and Marilyn Bergman",Yentl,True
1983,1984,Original song,Music by Giorgio Moroder; Lyric by Keith Forsey and Irene Cara,Flashdance,True
1983,1984,Original song,Music and Lyric by Michael Sembello and Dennis Matkosky,Flashdance,False
1983,1984,Original song,Music and Lyric by Austin Roberts and Bobby Hart,Tender Mercies,False
1983,1984,Original song,Music by Michel Legrand; Lyric by Alan Bergman and Marilyn Bergman,Yentl,False
1983,1984,Original song,Music by Michel Legrand; Lyric by Alan Bergman and Marilyn Bergman,Yentl,False
1983,1984,Best picture,"Michael Shamberg, Producer",The Big Chill,False
1983,1984,Best picture,"Peter Yates, Producer",The Dresser,False
1983,1984,Best picture,"Irwin Winkler and Robert Chartoff, Producers",The Right Stuff,False
1983,1984,Best picture,"Philip S. Hobel, Producer",Tender Mercies,False
1983,1984,Best picture,"James L. Brooks, Producer",Terms of Endearment,True
1983,1984,Short film animated,"Burny Mattinson, Producer",Mickey's Christmas Carol,False
1983,1984,Short film animated,"Eda Godel Hallinan, Producer",Sound of Sunshine - Sound of Rain,False
1983,1984,Short film animated,"Jimmy Picker, Producer",Sundae in New York,True
1983,1984,Short film live action,"Janice L. Platt, Producer",Boys and Girls,True
1983,1984,Short film live action,"Ian Emes, Producer",Goodie-Two-Shoes,False
1983,1984,Short film live action,"Jon N. Bloom, Producer",Overnight Sensation,False
1983,1984,Sound effects,"Alan R. Splet, Todd Boekelheide, Randy Thom, David Parker",Never Cry Wolf,False
1983,1984,Sound effects,"Ben Burtt, Gary Summers, Randy Thom, Tony Dawe",Return of the Jedi,False
1983,1984,Sound effects,"Mark Berger, Tom Scott, Randy Thom, David MacMillan",The Right Stuff,True
1983,1984,Sound effects,"Donald O. Mitchell, Rick Kline, Kevin O'Connell, Jim Alexander",Terms of Endearment,False
1983,1984,Sound effects,"Michael J. Kohut, Carlos de Larios, Aaron Rochin, Willie D. Burton",WarGames,False
1983,1984,Sound effects,Ben Burtt,Return of the Jedi,False
1983,1984,Sound effects,Jay Boekelheide,The Right Stuff,True
1983,1984,Adapted screenplay,Harold Pinter,Betrayal,False
1983,1984,Adapted screenplay,Ronald Harwood,The Dresser,False
1983,1984,Adapted screenplay,Willy Russell,Educating Rita,False
1983,1984,Adapted screenplay,Julius J. Epstein,"Reuben, Reuben",False
1983,1984,Adapted screenplay,James L. Brooks,Terms of Endearment,True
1983,1984,Adapted screenplay,"Lawrence Kasdan, Barbara Benedek",The Big Chill,False
1983,1984,Adapted screenplay,Ingmar Bergman,Fanny & Alexander,False
1983,1984,Adapted screenplay,"Nora Ephron, Alice Arlen",Silkwood,False
1983,1984,Adapted screenplay,Horton Foote,Tender Mercies,True
1983,1984,Adapted screenplay,"Lawrence Lasker, Walter F. Parkes",WarGames,False
1983,1984,Visual effects,"Richard Edlund, Dennis Muren, Ken Ralston, Phil Tippett",Return of the Jedi,True
1984,1985,Actor in a leading role,F. Murray Abraham,Amadeus,True
1984,1985,Actor in a leading role,Jeff Bridges,Starman,False
1984,1985,Actor in a leading role,Albert Finney,Under the Volcano,False
1984,1985,Actor in a leading role,Tom Hulce,Amadeus,False
1984,1985,Actor in a leading role,Sam Waterston,The Killing Fields,False
1984,1985,Actor in a supporting role,Adolph Caesar,A Soldier's Story,False
1984,1985,Actor in a supporting role,John Malkovich,Places in the Heart,False
1984,1985,Actor in a supporting role,Noriyuki 'Pat' Morita,The Karate Kid,False
1984,1985,Actor in a supporting role,Haing S. Ngor,The Killing Fields,True
1984,1985,Actor in a supporting role,Ralph Richardson,"Greystoke: The Legend of Tarzan, Lord of the Apes",False
1984,1985,Actress in a leading role,Judy Davis,A Passage to India,False
1984,1985,Actress in a leading role,Sally Field,Places in the Heart,True
1984,1985,Actress in a leading role,Jessica Lange,Country,False
1984,1985,Actress in a leading role,Vanessa Redgrave,The Bostonians,False
1984,1985,Actress in a leading role,Sissy Spacek,The River,False
1984,1985,Actress in a supporting role,Peggy Ashcroft,A Passage to India,True
1984,1985,Actress in a supporting role,Glenn Close,The Natural,False
1984,1985,Actress in a supporting role,Lindsay Crouse,Places in the Heart,False
1984,1985,Actress in a supporting role,Christine Lahti,Swing Shift,False
1984,1985,Actress in a supporting role,Geraldine Page,The Pope of Greenwich Village,False
1984,1985,Production design,Art Direction:  Patrizia Von Brandenstein;  Set Decoration:  Karel Cerny,Amadeus,True
1984,1985,Production design,"Art Direction:  Richard Sylbert;  Set Decoration:  George Gaines, Les Bloom",The Cotton Club,False
1984,1985,Production design,"Art Direction:  Angelo Graham, Mel Bourne, James J. Murakami, Speed Hopkins;  Set Decoration:  Bruce Weintraub",The Natural,False
1984,1985,Production design,"Art Direction:  John Box, Leslie Tomkins;  Set Decoration:  Hugh Scaife",A Passage to India,False
1984,1985,Production design,Art Direction:  Albert Brenner;  Set Decoration:  Rick Simpson,2010,False
1984,1985,Cinematography,Miroslav Ondricek,Amadeus,False
1984,1985,Cinematography,Chris Menges,The Killing Fields,True
1984,1985,Cinematography,Caleb Deschanel,The Natural,False
1984,1985,Cinematography,Ernest Day,A Passage to India,False
1984,1985,Cinematography,Vilmos Zsigmond,The River,False
1984,1985,Costume design,Theodor Pistek,Amadeus,True
1984,1985,Costume design,"Jenny Beavan, John Bright",The Bostonians,False
1984,1985,Costume design,Judy Moorcroft,A Passage to India,False
1984,1985,Costume design,Ann Roth,Places in the Heart,False
1984,1985,Costume design,Patricia Norris,2010,False
1984,1985,Director,Milos Forman,Amadeus,True
1984,1985,Director,Woody Allen,Broadway Danny Rose,False
1984,1985,Director,Roland Joffé,The Killing Fields,False
1984,1985,Director,David Lean,A Passage to India,False
1984,1985,Director,Robert Benton,Places in the Heart,False
1984,1985,Documentary feature,"Charles Guggenheim and Nancy Sloss, Producers",High Schools,False
1984,1985,Documentary feature,"Alex W. Drehsler and Frank Christopher, Producers",In the Name of the People,False
1984,1985,Documentary feature,"Karel Dirka and Zev Braun, Producers",Marlene,False
1984,1985,Documentary feature,"Cheryl McCall, Producer",Streetwise,False
1984,1985,Documentary feature,"Robert Epstein and Richard Schmiechen, Producers",The Times of Harvey Milk,True
1984,1985,Documentary short film,"Gary Bush and Paul T.K. Lin, Producers",The Children of Soong Ching Ling,False
1984,1985,Documentary short film,"Ben Achtenberg and Joan Sawyer, Producers",Code Gray: Ethical Dilemmas in Nursing,False
1984,1985,Documentary short film,"Lawrence R. Hott and Roger M. Sherman, Producers",The Garden of Eden,False
1984,1985,Documentary short film,"Irina Kalinina, Producer",Recollections of Pavlovsk,False
1984,1985,Documentary short film,"Marjorie Hunt and Paul Wagner, Producers",The Stone Carvers,True
1984,1985,Film editing,"Nena Danevic, Michael Chandler",Amadeus,False
1984,1985,Film editing,"Barry Malkin, Robert Q. Lovett",The Cotton Club,False
1984,1985,Film editing,Jim Clark,The Killing Fields,True
1984,1985,Film editing,David Lean,A Passage to India,False
1984,1985,Film editing,"Donn Cambern, Frank Morriss",Romancing the Stone,False
1984,1985,International feature film,Israel,Beyond the Walls,False
1984,1985,International feature film,Argentina,Camila,False
1984,1985,International feature film,Switzerland,Dangerous Moves,True
1984,1985,International feature film,Spain,Double Feature,False
1984,1985,International feature film,Union of Soviet Socialist Republics,Wartime Romance,False
1984,1985,Makeup and hairstyling,"Paul LeBlanc, Dick Smith",Amadeus,True
1984,1985,Makeup and hairstyling,"Rick Baker, Paul Engelen","Greystoke: The Legend of Tarzan, Lord of the Apes",False
1984,1985,Makeup and hairstyling,Michael Westmore,2010,False
1984,1985,Original score,John Williams,Indiana Jones and the Temple of Doom,False
1984,1985,Original score,Randy Newman,The Natural,False
1984,1985,Original score,Maurice Jarre,A Passage to India,True
1984,1985,Original score,John Williams,The River,False
1984,1985,Original score,Alex North,Under the Volcano,False
1984,1985,Original score,Jeff Moss,The Muppets Take Manhattan,False
1984,1985,Original score,Prince,Purple Rain,True
1984,1985,Original score,Kris Kristofferson,Songwriter,False
1984,1985,Original song,Music and Lyric by Phil Collins,Against All Odds,False
1984,1985,Original song,Music and Lyric by Kenny Loggins and Dean Pitchford,Footloose,False
1984,1985,Original song,"Music and Lyric by Ray Parker, Jr.",Ghostbusters,False
1984,1985,Original song,Music and Lyric by Stevie Wonder,The Woman in Red,True
1984,1985,Original song,Music and Lyric by Tom Snow and Dean Pitchford,Footloose,False
1984,1985,Best picture,"Saul Zaentz, Producer",Amadeus,True
1984,1985,Best picture,"David Puttnam, Producer",The Killing Fields,False
1984,1985,Best picture,"John Brabourne and Richard Goodwin, Producers",A Passage to India,False
1984,1985,Best picture,"Arlene Donovan, Producer",Places in the Heart,False
1984,1985,Best picture,"Norman Jewison, Ronald L. Schwary and Patrick Palmer, Producers",A Soldier's Story,False
1984,1985,Short film animated,"Jon Minnis, Producer",Charade,True
1984,1985,Short film animated,"Morton Schindel and Michael Sporn, Producers",Doctor De Soto,False
1984,1985,Short film animated,"Ishu Patel, Producer",Paradise,False
1984,1985,Short film live action,"Michael MacMillan and Janice L. Platt, Producers",The Painted Door,False
1984,1985,Short film live action,"Sharon Oreck and Lesli Linka Glatter, Producers",Tales of Meeting and Parting,False
1984,1985,Short film live action,"Mike Hoover, Producer",Up,True
1984,1985,Sound effects,"Mark Berger, Tom Scott, Todd Boekelheide, Chris Newman",Amadeus,True
1984,1985,Sound effects,"Bill Varney, Steve Maslow, Kevin O'Connell, Nelson Stoll",Dune,False
1984,1985,Sound effects,"Graham V. Hartstone, Nicolas Le Messurier, Michael A. Carter, John Mitchell",A Passage to India,False
1984,1985,Sound effects,"Nick Alphin, Robert Thirlwell, Richard Portman, David Ronne",The River,False
1984,1985,Sound effects,"Michael J. Kohut, Aaron Rochin, Carlos De Larios, Gene S. Cantamessa",2010,False
1984,1985,Visual effects,"Richard Edlund, John Bruno, Mark Vargo, Chuck Gaspar",Ghostbusters,False
1984,1985,Visual effects,"Dennis Muren, Michael McAlister, Lorne Peterson, George Gibbs",Indiana Jones and the Temple of Doom,True
1984,1985,Visual effects,"Richard Edlund, Neil Krepela, George Jenson, Mark Stetson",2010,False
1984,1985,Adapted screenplay,Peter Shaffer,Amadeus,True
1984,1985,Adapted screenplay,"P.H. Vazak, Michael Austin","Greystoke: The Legend of Tarzan, Lord of the Apes",False
1984,1985,Adapted screenplay,Bruce Robinson,The Killing Fields,False
1984,1985,Adapted screenplay,David Lean,A Passage to India,False
1984,1985,Adapted screenplay,Charles Fuller,A Soldier's Story,False
1984,1985,Adapted screenplay,"Screenplay by Daniel Petrie, Jr.;  Story by Danilo Bach, Daniel Petrie, Jr.",Beverly Hills Cop,False
1984,1985,Adapted screenplay,Woody Allen,Broadway Danny Rose,False
1984,1985,Adapted screenplay,"Gregory Nava, Anna Thomas",El Norte,False
1984,1985,Adapted screenplay,Robert Benton,Places in the Heart,True
1984,1985,Adapted screenplay,"Screenplay by Lowell Ganz, Babaloo Mandel, Bruce Jay Friedman;  Screen Story by Bruce Jay Friedman;  Based on a story by Brian Grazer",Splash,False
1984,1985,Sound effects,Kay Rose,The River,True
1985,1986,Actor in a leading role,Harrison Ford,Witness,False
1985,1986,Actor in a leading role,James Garner,Murphy's Romance,False
1985,1986,Actor in a leading role,William Hurt,Kiss of the Spider Woman,True
