film,year_film,Total oscars nominations,Total oscars won,Oscars main categories nominations,Oscars main categories won,Oscars best picture,G.G. nominations,G.G. won,G.G. main categories nominations,G.G. main categories won,G.G. best motion picture,TMDb Score
10,1979,2.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,5.6
"Oh Brother, My Brother",1979,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
"Netherlands, Paul Verhoeven",1979,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not available
Love at First Bite,1979,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.853
Luna,1979,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.703
To Forget Venice,1979,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3
Endless Love,1980,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.526
Melvin and Howard,1980,3.0,2.0,2.0,1.0,0.0,4.0,1.0,4.0,1.0,0.0,6.36
It's the Same World,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"United Kingdom, Roman Polanski",1980,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Not available
"Australia, Gillian Armstrong",1980,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not available
The Stunt Man,1980,3.0,0.0,2.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,6.676
American Gigolo,1980,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.115
Ordinary People,1980,5.0,3.0,4.0,2.0,1.0,6.0,3.0,5.0,3.0,1.0,7.5
When Time Ran Out,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.308
Confidence,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.279
"Australia, Bruce Beresford",1980,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not available
Tribute,1980,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Gloria,1980,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.439
Brubaker,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.039
A Jury of Her Peers,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2
Private Benjamin,1980,3.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.946
Divine Madness,1980,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.5
Star Wars: Episode V - The Empire Strikes Back,1980,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.392
Breaker Morant,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1
Hopscotch,1980,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.985
All Nothing,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Somewhere in Time,1980,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.511
The Great Santini,1980,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.708
The Blue Lagoon,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.162
Altered States,1980,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.694
Nine to Five (1980),1980,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,Not available
Raging Bull,1980,8.0,2.0,5.0,1.0,0.0,6.0,1.0,5.0,1.0,0.0,7.946
The Idolmaker,1980,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,5.639
Front Line,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
Inside Moves,1980,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63
Honeysuckle Rose,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.818
Agee,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25
Karl Hess: Toward Liberty,1980,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4
The Dollar Bottom,1980,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Kagemusha (The Shadow Warrior),1980,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.805
My Brilliant Career,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.123
Tess,1980,6.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,7.013
The Elephant Man,1980,8.0,0.0,3.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,8.05
Touched by Love,1980,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.167
The Ninth Configuration,1980,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,6.542
Nine to Five,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.884
The Empire Strikes Back,1980,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.392
The Eruption of Mount St. Helens,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4
"France, François Truffaut",1980,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not available
The Last Metro,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.234
Fall Line,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7
"Japan, Akira Kurosawa",1980,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not available
Resurrection,1980,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.1
Mon Oncle D'Amerique,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9
"Yugoslavia, Goran Paskaljevic",1980,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not available
The Jazz Singer,1980,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,6.129
Falling In Love Again,1980,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.45
Don't Mess with Bill,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
From Mao to Mozart: Isaac Stern in China,1980,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6
Airplane!,1980,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.291
The Competition,1980,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.269
The Yellow Star - The Persecution of the Jews in Europe 1933-45,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not available
Coal Miner's Daughter,1980,7.0,1.0,2.0,1.0,0.0,4.0,2.0,4.0,2.0,1.0,7.256
The Formula,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
The Fly,1980,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.397
History of the World in Three Minutes Flat,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8
Luther Metke at 94,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3
The Day after Trinity,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
The Nest,1980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.048
Urban Cowboy,1980,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.455
Moscow Does Not Believe in Tears,1980,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.672
Fame,1980,5.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,6.462
The Four Seasons,1981,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,6.2
Muddy River,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.188
Man of Iron,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.018
Pennies from Heaven,1981,3.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,6.03
Outland,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.428
Only When I Laugh,1981,3.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5.8
"United Kingdom, Hugh Hudson",1981,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Not available
Prince of the City,1981,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,7.043
On Golden Pond,1981,10.0,3.0,5.0,2.0,0.0,6.0,3.0,5.0,2.0,1.0,7.268
Ragtime,1981,8.0,0.0,2.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,7.017
Raiders of the Lost Ark,1981,8.0,4.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.926
First Monday in October,1981,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,6.6
Zoot Suit,1981,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.324
Reds,1981,12.0,3.0,6.0,2.0,0.0,7.0,1.0,6.0,1.0,0.0,6.906
Journey for Survival,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Canada, Louis Malle",1981,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not available
See What I Say,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
"West Germany, Wolfgang Petersen",1981,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not available
Butterfly,1981,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
Mephisto,1981,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.204
"Brazil, Hector Babenco",1981,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not available
Heaven's Gate,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8
Heartbeeps,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.974
Continental Divide,1981,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.995
Brooklyn Bridge,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
"Zorro, The Gay Blade",1981,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.902
An American Werewolf in London,1981,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4
The Boat Is Full,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.273
The Great Muppet Caper,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.832
Urge to Build,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Endless Love,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.526
S. O. B.,1981,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.447
Absence of Malice,1981,3.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.599
Dragonslayer,1981,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.427
Genocide,1981,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
The Creation,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
The French Lieutenant's Woman,1981,5.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,6.43
First Winter,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Arthur,1981,4.0,2.0,2.0,1.0,0.0,5.0,4.0,4.0,3.0,1.0,5.571
Taps,1981,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.8
Raggedy Man,1981,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.3
Violet,1981,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.868
Americas in Transition,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Couples and Robbers,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7
For Your Eyes Only,1981,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.525
Crac,1981,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.297
Chariots of Fire,1981,7.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.792
Against Wind and Tide: A Cuban Odyssey,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
Atlantic City,1981,5.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,6.815
The Tender Tale of Cinderella Penguin,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
"Australia, Peter Weir",1981,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not available
Three Brothers,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96
El Salvador: Another Vietnam,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
Eight Minutes to Midnight: A Portrait of Dr. Helen Caldicott,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Close Harmony,1981,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
Excalibur,1981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.958
Victor/Victoria,1982,7.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.249
Cat People,1982,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.066
Rocky III,1982,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.883
The Snowman,1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.454
Frances,1982,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,6.943
Tempest,1982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.3
"West Germany, Werner Herzog",1982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not available
A Portrait of Giselle,1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
"Come Back To The Five and Dime, Jimmy Dean, Jimmy Dean",1982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.908
Missing,1982,4.0,1.0,3.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,7.513
The Silence,1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.028
Kiss Me Goodbye,1982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.7
Ballet Robotique,1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3
Coup de Torchon ('Clean Slate'),1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
"Switzerland, Serif Gören, Yilmaz Güney",1982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not available
One from the Heart,1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.717
Blade Runner,1982,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.933
Six Weeks,1982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.694
"Italy, Franco Zeffirelli",1982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not available
The Klan: A Legacy of Hate in America,1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7
Shoot The Moon,1982,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,6.378
Alsino and the Condor,1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.441
E.T. The Extra-Terrestrial,1982,8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.514
E. T. The Extra-Terrestrial,1982,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,7.514
Poltergeist,1982,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2
An Officer and a Gentleman,1982,6.0,2.0,2.0,1.0,0.0,5.0,1.0,4.0,0.0,0.0,7.0
Victor Victoria,1982,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,1.0,0.0,7.249
The Great Cognito,1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5
Volver a Empezar ('To Begin Again'),1982,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4
Private Life,1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.936
If You Love This Planet,1982,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6
Quest for Fire,1982,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.085
"Yes, Giorgio",1982,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.2
My Favorite Year,1982,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,6.874
Diner,1982,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.851
The Flight of the Eagle,1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Just Another Missing Kid,1982,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8
In Our Water,1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
"Canada, Jean-Jacques Annaud",1982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not available
Making Love,1982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.908
Night Shift,1982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.991
Sredni Vashtar,1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3
"Australia, George Miller",1982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not available
The Best Little Whorehouse In Texas,1982,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,6.144
Best Friends,1982,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.9
Gandhi,1982,11.0,8.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,0.0,7.546
Gods of Metal,1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Sophie's Choice,1982,5.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,7.3
La Traviata,1982,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tex,1982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.224
Split Cherry Tree,1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3
Traveling Hopefully,1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7
Tron,1982,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7
Das Boot,1982,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.084
After the Axe,1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2
Tootsie,1982,9.0,0.0,4.0,0.0,0.0,5.0,3.0,4.0,3.0,1.0,7.2
Author! Author!,1982,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Tango,1982,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7
Annie,1982,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.243
A Shocking Accident,1982,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
Ben's Mill,1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
The Best Little Whorehouse in Texas,1982,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.144
To Live or Let Die,1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3
"India, Richard Attenborough",1982,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Not available
The World According to Garp,1982,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68
The Verdict,1982,5.0,0.0,4.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,7.464
Star 80,1983,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.469
You Are Free  (Ihr Zent Frei),1983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Fanny & Alexander,1983,6.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.776
Gorky Park,1983,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.303
Yentl,1983,4.0,1.0,1.0,0.0,0.0,6.0,2.0,4.0,2.0,1.0,6.575
Staying Alive,1983,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.733
Spaces: The Architecture of Paul Rudolph,1983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Year of Living Dangerously,1983,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,6.659
Never Cry Wolf,1983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.953
In the Nuclear Shadow: What Can the Children Tell Us?,1983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7
Trading Places,1983,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,7.209
To Be or Not to Be,1983,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,7.873
Overnight Sensation,1983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Entre Nous,1983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.11
Sundae in New York,1983,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.722
Children of Darkness,1983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.792
Le Bal,1983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.095
"United Kingdom, Lewis Gilbert",1983,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not available
"United Kingdom, Peter Yates",1983,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not available
Job's Revolt,1983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.944
Educating Rita,1983,3.0,0.0,2.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,6.783
Terms of Endearment,1983,9.0,4.0,4.0,3.0,1.0,5.0,3.0,4.0,2.0,1.0,7.095
Scarface,1983,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,8.168
WarGames,1983,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.077
Blue Thunder,1983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15
Goodie-Two-Shoes,1983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7
Testament,1983,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.409
"Spain, Carlos Saura",1983,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not available
Cross Creek,1983,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.605
Tender Mercies,1983,5.0,2.0,3.0,1.0,0.0,5.0,1.0,4.0,1.0,0.0,6.587
Rumble Fish,1983,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.977
Never Say Never Again,1983,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.075
The Profession of Arms,1983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.677
"Canada, Lewis Gilbert",1983,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Not available
Flashdance,1983,3.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,6.494
Silkwood,1983,5.0,0.0,3.0,0.0,0.0,5.0,1.0,5.0,1.0,0.0,6.958
Betrayal,1983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Flamenco at 5:15,1983,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1
The Pirates of Penzance,1983,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.742
The Right Stuff,1983,7.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.429
Boys and Girls,1983,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
The Grey Fox,1983,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.9
First Contact,1983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2
The Dresser,1983,4.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,6.304
Zelig,1983,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,7.4
Seeing Red,1983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heart Like a Wheel,1983,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.636
Mickey's Christmas Carol,1983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.62
Return of the Jedi,1983,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.894
The Return of Martin Guerre,1983,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.825
He Makes Me Feel Like Dancin',1983,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
